TicketNumber,Latitude,Longitude,Zip,ClassificationType,Date,Time,Hour,CensusTract_2010,CensusBlock_2010,CountyName_2010,GEOID_2010,CensusTract_2010_ID,CensusTract_2010_NAME,CensusBlock_2010_ID,CensusBlock_2010_NAME
ML19001225,40.75402,-73.97419,10017,M,01/21/2019,09:15 PM,09 PM,92,1003,New York County,360610092001003,9200,Census Tract 92,1003,Block 1003
ML19003831,40.77168,-73.97763,10023,M,03/07/2019,08:40 AM,08 AM,143,1040,New York County,360610143001040,14300,Census Tract 143,1040,Block 1040
ML19004663,40.75472,-73.97591,10017,M,03/21/2019,07:38 PM,07 PM,92,1005,New York County,360610092001005,9200,Census Tract 92,1005,Block 1005
ML19005447,40.80325,-73.96749,10025,M,04/04/2019,02:50 PM,02 PM,195,1005,New York County,360610195001005,19500,Census Tract 195,1005,Block 1005
ML19006608,40.78175,-73.96026,10028,P,04/27/2019,10:15 AM,10 AM,143,1024,New York County,360610143001024,14300,Census Tract 143,1024,Block 1024
ML19007355,40.71182,-74.00827,10007,M,05/11/2019,12:06 AM,12 AM,21,1011,New York County,360610021001011,2100,Census Tract 21,1011,Block 1011
ML19008617,40.75372,-73.97743,10017,M,06/04/2019,08:19 AM,08 AM,94,1008,New York County,360610094001008,9400,Census Tract 94,1008,Block 1008
ML19008706,40.79219,-73.94255,10029,M,06/05/2019,12:55 PM,12 PM,170,1000,New York County,360610170001000,17000,Census Tract 170,1000,Block 1000
ML19009693,40.70516,-74.00999,10005,P,06/22/2019,08:01 PM,08 PM,9,1000,New York County,360610009001000,900,Census Tract 9,1000,Block 1000
ML19010411,40.73267,-73.9816,10003,M,07/09/2019,03:04 PM,03 PM,48,5000,New York County,360610048005000,4800,Census Tract 48,5000,Block 5000
ML19010899,40.74312,-74.00274,10011,M,07/19/2019,10:51 AM,10 AM,89,2001,New York County,360610089002001,8900,Census Tract 89,2001,Block 2001
ML19011112,40.83157,-73.94299,10032,M,07/24/2019,09:44 AM,09 AM,237,3000,New York County,360610237003000,23700,Census Tract 237,3000,Block 3000
ML19011870,40.77721,-73.95226,10028,P,08/08/2019,11:30 AM,11 AM,146.01,1000,New York County,360610146011000,14601,Census Tract 146.01,1000,Block 1000
ML19012341,40.78889,-73.97042,10024,M,08/16/2019,05:27 PM,05 PM,173,3000,New York County,360610173003000,17300,Census Tract 173,3000,Block 3000
ML19012851,40.75385,-73.9738,10017,M,08/26/2019,10:30 AM,10 AM,92,1012,New York County,360610092001012,9200,Census Tract 92,1012,Block 1012
ML19013467,40.70516,-74.00999,10005,P,09/05/2019,07:40 PM,07 PM,9,1000,New York County,360610009001000,900,Census Tract 9,1000,Block 1000
ML19013839,40.76297,-73.97188,10022,P,09/09/2019,08:50 PM,08 PM,112.02,1001,New York County,360610112021001,11202,Census Tract 112.02,1001,Block 1001
ML19013954,40.75658,-73.98614,10036,P,09/11/2019,06:13 PM,06 PM,119,1004,New York County,360610119001004,11900,Census Tract 119,1004,Block 1004
ML19014071,40.74166,-74.00113,10011,M,09/13/2019,05:52 PM,05 PM,81,2001,New York County,360610081002001,8100,Census Tract 81,2001,Block 2001
