MonthYear,Date,Year,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list,Zipcode_list,Ticket_list
June-2020,06/09/2020,2020,12 PM,81.0,1,8100,Census Tract 81,New York County,[360610081005000],[5000],[10011],['ML20006942']
June-2020,06/09/2020,2020,02 PM,92.0,1,9200,Census Tract 92,New York County,[360610092001000],[1000],[10017],['ML20006945']
June-2020,06/09/2020,2020,02 PM,154.0,1,15400,Census Tract 154,New York County,[360610154004000],[4000],[10128],['ML20006946']
June-2020,06/09/2020,2020,10 AM,57.0,1,5700,Census Tract 57,Queens County,[360810057002000],[2000],[11106],['QL20003379']
June-2020,06/09/2020,2020,11 AM,945.0,1,94500,Census Tract 945,Queens County,[360810945002020],[2020],[11357],['QL20003380']
June-2020,06/09/2020,2020,01 PM,1277.0,1,127700,Census Tract 1277,Queens County,[360811277004002],[4002],[11423],['QL20003381']
June-2020,06/09/2020,2020,09 AM,141.0,1,14100,Census Tract 141,Westchester County,[361190141003002],[3002],[10566],['WL20005418']
June-2020,06/09/2020,2020,09 AM,120.0,1,12000,Census Tract 120,Westchester County,[361190120001001],[1001],[10532],['WL20005419']
June-2020,06/09/2020,2020,09 AM,110.0,1,11000,Census Tract 110,Westchester County,[361190110002006],[2006],[10523],['WL20005420']
June-2020,06/09/2020,2020,10 AM,37.0,1,3700,Census Tract 37,Westchester County,[361190037003013],[3013],[10550],['WL20005422']
June-2020,06/09/2020,2020,11 AM,82.0,1,8200,Census Tract 82,Westchester County,[361190082002011],[2011],[10573],['WL20005424']
June-2020,06/09/2020,2020,01 PM,71.0,1,7100,Census Tract 71,Westchester County,[361190071003014],[3014],[10538],['WL20005428']
June-2020,06/09/2020,2020,03 PM,85.0,1,8500,Census Tract 85,Westchester County,[361190085001040],[1040],[10528],['WL20005435']
June-2020,06/09/2020,2020,07 PM,74.01,1,7401,Census Tract 74.01,Westchester County,[361190074011010],[1010],[10543],['WL20005438']
June-2020,06/09/2020,2020,09 AM,337.0,1,33700,Census Tract 337,Bronx County,[360050337001002],[1002],[10471],['XL20006120']
June-2020,06/09/2020,2020,10 AM,337.0,1,33700,Census Tract 337,Bronx County,[360050337001001],[1001],[10471],['XL20006123']
June-2020,06/09/2020,2020,11 AM,39.0,1,3900,Census Tract 39,Bronx County,[360050039002001],[2001],[10454],['XL20006129']
June-2020,06/09/2020,2020,07 PM,79.0,1,7900,Census Tract 79,Bronx County,[360050079001000],[1000],[10455],['XL20006139']
June-2020,06/09/2020,2020,09 PM,83.0,1,8300,Census Tract 83,Bronx County,[360050083002001],[2001],[10455],['XL20006142']
June-2020,06/08/2020,2020,12 AM,145.0,1,14500,Census Tract 145,New York County,[360610145002000],[2000],[10019],['ML20006893']
June-2020,06/08/2020,2020,10 AM,93.0,1,9300,Census Tract 93,New York County,[360610093002000],[2000],[10011],['ML20006900']
June-2020,06/08/2020,2020,11 AM,109.0,1,10900,Census Tract 109,New York County,[360610109001004],[1004],[10018],['ML20006903']
June-2020,06/08/2020,2020,12 PM,82.0,1,8200,Census Tract 82,New York County,[360610082002002],[2002],[10016],['ML20006909']
June-2020,06/08/2020,2020,12 PM,98.0,1,9800,Census Tract 98,New York County,[360610098006000],[6000],[10022],['ML20006910']
