MonthYear,CensusTract_2010,TotalReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_SCT,CensusBlockID_list,Zipcode_list,Ticket_list,Classification_list,Month,Year
June-2020,148.09,1,14809,Census Tract 148.09,Westchester County,36119014809,[1008],[10598],['WL20005256'],['M'],6,2020
June-2020,143.0,1,14300,Census Tract 143,Westchester County,36119014300,[2013],[10566],['WL20005335'],['M'],6,2020
June-2020,141.0,2,14100,Census Tract 141,Westchester County,36119014100,"[3002, 4014]","[10566, 10566]","['WL20005418', 'WL20005280']","['P', 'M']",6,2020
June-2020,120.0,1,12000,Census Tract 120,Westchester County,36119012000,[1001],[10532],['WL20005419'],['M'],6,2020
June-2020,110.0,1,11000,Census Tract 110,Westchester County,36119011000,[2006],[10523],['WL20005420'],['M'],6,2020
June-2020,109.02,1,10902,Census Tract 109.02,Westchester County,36119010902,[2044],[10603],['WL20005379'],['M'],6,2020
June-2020,108.03,1,10803,Census Tract 108.03,Westchester County,36119010803,[1008],[10530],['WL20005274'],['M'],6,2020
June-2020,107.02,1,10702,Census Tract 107.02,Westchester County,36119010702,[3000],[10530],['WL20005278'],['M'],6,2020
June-2020,106.0,1,10600,Census Tract 106,Westchester County,36119010600,[3023],[10502],['WL20005377'],['P'],6,2020
June-2020,100.0,1,10000,Census Tract 100,Westchester County,36119010000,[1004],[10583],['WL20005239'],['P'],6,2020
June-2020,95.0,1,9500,Census Tract 95,Westchester County,36119009500,[1004],[10605],['WL20005359'],['M'],6,2020
June-2020,90.0,1,9000,Census Tract 90,Westchester County,36119009000,[1005],[10603],['WL20005403'],['M'],6,2020
June-2020,88.0,1,8800,Census Tract 88,Westchester County,36119008800,[2000],[10601],['WL20005371'],['P'],6,2020
June-2020,85.0,1,8500,Census Tract 85,Westchester County,36119008500,[1040],[10528],['WL20005435'],['M'],6,2020
June-2020,82.0,1,8200,Census Tract 82,Westchester County,36119008200,[2011],[10573],['WL20005424'],['M'],6,2020
June-2020,74.01,1,7401,Census Tract 74.01,Westchester County,36119007401,[1010],[10543],['WL20005438'],['P'],6,2020
June-2020,71.0,5,7100,Census Tract 71,Westchester County,36119007100,"[3014, 4023, 4023, 1006, 3048]","[10538, 10538, 10538, 10538, 10538]","['WL20005428', 'WL20005334', 'WL20005337', 'WL20005241', 'WL20005252']","['P', 'P', 'P', 'P', 'P']",6,2020
June-2020,68.02,1,6802,Census Tract 68.02,Westchester County,36119006802,[1011],[10804],['WL20005246'],['P'],6,2020
June-2020,68.01,1,6801,Census Tract 68.01,Westchester County,36119006801,[3042],[10804],['WL20005309'],['M'],6,2020
June-2020,67.0,5,6700,Census Tract 67,Westchester County,36119006700,"[4004, 3002, 1008, 3041, 4002]","[10804, 10804, 10804, 10804, 10804]","['WL20005341', 'WL20005299', 'WL20005306', 'WL20005281', 'WL20005218']","['M', 'M', 'M', 'M', 'M']",6,2020
June-2020,65.0,2,6500,Census Tract 65,Westchester County,36119006500,"[1000, 3035]","[10801, 10801]","['WL20005307', 'WL20005275']","['M', 'P']",6,2020
June-2020,62.0,1,6200,Census Tract 62,Westchester County,36119006200,[2001],[10801],['WL20005298'],['P'],6,2020
June-2020,60.0,1,6000,Census Tract 60,Westchester County,36119006000,[3005],[10801],['WL20005284'],['M'],6,2020
June-2020,58.0,2,5800,Census Tract 58,Westchester County,36119005800,"[3003, 3003]","[10805, 10805]","['WL20005247', 'WL20005254']","['P', 'P']",6,2020
June-2020,53.0,1,5300,Census Tract 53,Westchester County,36119005300,[3003],[10803],['WL20005251'],['P'],6,2020
June-2020,48.0,2,4800,Census Tract 48,Westchester County,36119004800,"[6000, 2022]","[10708, 10707]","['WL20005376', 'WL20005283']","['M', 'P']",6,2020
June-2020,37.0,1,3700,Census Tract 37,Westchester County,36119003700,[3013],[10550],['WL20005422'],['M'],6,2020
June-2020,34.0,1,3400,Census Tract 34,Westchester County,36119003400,[2003],[10553],['WL20005279'],['P'],6,2020
June-2020,33.0,1,3300,Census Tract 33,Westchester County,36119003300,[3005],[10553],['WL20005375'],['M'],6,2020
June-2020,21.03,1,2103,Census Tract 21.03,Westchester County,36119002103,[1002],[10707],['WL20005244'],['P'],6,2020
June-2020,16.0,1,1600,Census Tract 16,Westchester County,36119001600,[1000],[10701],['WL20005294'],['P'],6,2020
June-2020,14.02,1,1402,Census Tract 14.02,Westchester County,36119001402,[2003],[10705],['WL20005217'],['M'],6,2020
June-2020,13.01,2,1301,Census Tract 13.01,Westchester County,36119001301,"[1010, 3000]","[10705, 10705]","['WL20005238', 'WL20005242']","['M', 'M']",6,2020
June-2020,8.03,1,803,Census Tract 8.03,Westchester County,36119000803,[2002],[10701],['WL20005398'],['M'],6,2020
June-2020,4.02,2,402,Census Tract 4.02,Westchester County,36119000402,"[1008, 2001]","[10701, 10701]","['WL20005342', 'WL20005351']","['P', 'M']",6,2020
June-2020,2.03,1,203,Census Tract 2.03,Westchester County,36119000203,[1002],[10705],['WL20005235'],['P'],6,2020
June-2020,1451.02,1,145102,Census Tract 1451.02,Queens County,36081145102,[2000],[11361],['QL20003318'],['P'],6,2020
June-2020,1399.0,1,139900,Census Tract 1399,Queens County,36081139900,[1002],[11364],['QL20003297'],['M'],6,2020
June-2020,1385.02,1,138502,Census Tract 1385.02,Queens County,36081138502,[1019],[11362],['QL20003276'],['M'],6,2020
June-2020,1277.0,1,127700,Census Tract 1277,Queens County,36081127700,[4002],[11423],['QL20003381'],['M'],6,2020
June-2020,1191.0,1,119100,Census Tract 1191,Queens County,36081119100,[2000],[11358],['QL20003282'],['P'],6,2020
June-2020,1175.0,1,117500,Census Tract 1175,Queens County,36081117500,[4007],[11358],['QL20003309'],['P'],6,2020
June-2020,1155.0,1,115500,Census Tract 1155,Queens County,36081115500,[1007],[11354],['QL20003302'],['P'],6,2020
June-2020,1059.0,1,105900,Census Tract 1059,Queens County,36081105900,[1002],[11357],['QL20003277'],['P'],6,2020
June-2020,1039.0,1,103900,Census Tract 1039,Queens County,36081103900,[4012],[11357],['QL20003361'],['P'],6,2020
June-2020,997.04,1,99704,Census Tract 997.04,Queens County,36081099704,[4000],[11360],['QL20003331'],['M'],6,2020
June-2020,945.0,1,94500,Census Tract 945,Queens County,36081094500,[2020],[11357],['QL20003380'],['P'],6,2020
June-2020,889.01,1,88901,Census Tract 889.01,Queens County,36081088901,[1000],[11357],['QL20003372'],['M'],6,2020
June-2020,797.02,1,79702,Census Tract 797.02,Queens County,36081079702,[2000],[11355],['QL20003337'],['M'],6,2020
June-2020,485.0,1,48500,Census Tract 485,Queens County,36081048500,[2002],[11373],['QL20003299'],['M'],6,2020
June-2020,309.04,1,30904,Census Tract 309.04,Queens County,36081030904,[1005],[11370],['QL20003312'],['M'],6,2020
June-2020,57.0,1,5700,Census Tract 57,Queens County,36081005700,[2000],[11106],['QL20003379'],['M'],6,2020
June-2020,281.0,1,28100,Census Tract 281,New York County,36061028100,[2001],[10040],['ML20006914'],['P'],6,2020
June-2020,199.0,1,19900,Census Tract 199,New York County,36061019900,[1000],[10025],['ML20006922'],['P'],6,2020
June-2020,173.0,1,17300,Census Tract 173,New York County,36061017300,[1000],[10024],['ML20006748'],['M'],6,2020
June-2020,154.0,1,15400,Census Tract 154,New York County,36061015400,[4000],[10128],['ML20006946'],['M'],6,2020
June-2020,151.0,1,15100,Census Tract 151,New York County,36061015100,[2000],[10023],['ML20006758'],['P'],6,2020
June-2020,145.0,1,14500,Census Tract 145,New York County,36061014500,[2000],[10019],['ML20006893'],['P'],6,2020
June-2020,130.0,1,13000,Census Tract 130,New York County,36061013000,[1002],[10021],['ML20006717'],['M'],6,2020
June-2020,118.0,1,11800,Census Tract 118,New York County,36061011800,[4001],[10065],['ML20006844'],['M'],6,2020
June-2020,114.01,1,11401,Census Tract 114.01,New York County,36061011401,[1001],[10065],['ML20006724'],['P'],6,2020
June-2020,109.0,1,10900,Census Tract 109,New York County,36061010900,[1004],[10018],['ML20006903'],['M'],6,2020
June-2020,98.0,2,9800,Census Tract 98,New York County,36061009800,"[6000, 4000]","[10022, 10022]","['ML20006910', 'ML20006784']","['P', 'P']",6,2020
June-2020,93.0,1,9300,Census Tract 93,New York County,36061009300,[2000],[10011],['ML20006900'],['M'],6,2020
June-2020,92.0,1,9200,Census Tract 92,New York County,36061009200,[1000],[10017],['ML20006945'],['P'],6,2020
June-2020,88.0,1,8800,Census Tract 88,New York County,36061008800,[5000],[10017],['ML20006775'],['M'],6,2020
June-2020,84.0,1,8400,Census Tract 84,New York County,36061008400,[2003],[10018],['ML20006756'],['M'],6,2020
June-2020,82.0,1,8200,Census Tract 82,New York County,36061008200,[2002],[10016],['ML20006909'],['P'],6,2020
June-2020,81.0,1,8100,Census Tract 81,New York County,36061008100,[5000],[10011],['ML20006942'],['P'],6,2020
June-2020,72.0,1,7200,Census Tract 72,New York County,36061007200,[4002],[10016],['ML20006696'],['P'],6,2020
June-2020,37.0,1,3700,Census Tract 37,New York County,36061003700,[3011],[10013],['ML20006839'],['P'],6,2020
June-2020,34.0,1,3400,Census Tract 34,New York County,36061003400,[1001],[10009],['ML20006678'],['P'],6,2020
June-2020,25.0,1,2500,Census Tract 25,New York County,36061002500,[1000],[10038],['ML20006761'],['P'],6,2020
June-2020,426.0,1,42600,Census Tract 426,Bronx County,36005042600,[2001],[10466],['XL20005916'],['M'],6,2020
June-2020,391.0,1,39100,Census Tract 391,Bronx County,36005039100,[5000],[10458],['XL20005954'],['P'],6,2020
June-2020,387.0,1,38700,Census Tract 387,Bronx County,36005038700,[2002],[10458],['XL20005913'],['P'],6,2020
June-2020,385.0,2,38500,Census Tract 385,Bronx County,36005038500,"[1009, 1007]","[10458, 10458]","['XL20005903', 'XL20005908']","['P', 'P']",6,2020
June-2020,378.0,1,37800,Census Tract 378,Bronx County,36005037800,[1004],[10467],['XL20006029'],['M'],6,2020
June-2020,369.02,1,36902,Census Tract 369.02,Bronx County,36005036902,[2003],[10457],['XL20006063'],['P'],6,2020
June-2020,337.0,2,33700,Census Tract 337,Bronx County,36005033700,"[1002, 1001]","[10471, 10471]","['XL20006120', 'XL20006123']","['P', 'M']",6,2020
