tractid,tractnum,name,namelsad,nta,nta_name,bcode,geometry,MonthYear,TotalMonthlyReport,CountyName,CensusBlockID_list,Ticket_list,Classification_list,Zipcode_list,CountyTract
36081161700,161700,1617,Census Tract 1617,QN43,Bellerose,36081,"POLYGON ((1061105.246473343 205969.3440770327, 1061454.915058214 205912.1602483326, 1061704.987696169 205886.3604773571, 1062139.921657396 205946.7739595236, 1062398.110938754 205982.5796728373, 1062661.844762721 206017.6773758618, 1062915.33166809 206050.1944093159, 1063173.798246637 206085.2806126521, 1063432.817190293 206120.7357054228, 1063701.534287607 206156.5896349043, 1063987.643732159 206212.9063234612, 1064105.873148422 206247.1779282234, 1064212.472979906 206278.1328029728, 1064355.139378531 205793.6755512506, 1064376.442039859 205721.2435373329, 1064457.534195188 205168.453528717, 1064454.94610826 204945.1087658825, 1064473.646181057 204654.0684010658, 1064490.64635629 204374.3167872655, 1064498.250255082 204337.9086146536, 1064266.132582249 204292.3295543215, 1064102.138495121 204264.8289920818, 1063957.813359855 204240.3087678415, 1063505.997104963 204164.1414082414, 1063254.46463706 204121.4233287431, 1063007.916793202 204079.8170262101, 1062776.879011079 204041.5423863281, 1062338.00798096 203902.409075261, 1061766.029308849 203694.7281519147, 1061605.17598226 203636.2862222428, 1061569.737118416 203623.786024534, 1061534.299377886 203610.9215495037, 1061371.229854299 203551.7454552764, 1061297.862804847 203524.9162335752, 1061152.236925842 203471.2619676601, 1061066.405671652 203441.4793107174, 1060932.674388112 203395.1506561086, 1060760.180211721 203335.2202505475, 1060715.329049451 203318.6839863317, 1060596.282300392 203273.8607721984, 1060547.55613731 203255.4909712074, 1060555.135087537 203313.4436889536, 1060600.864562665 203667.7188677744, 1060631.407372285 203738.8598229787, 1060816.13062285 204666.3044059059, 1060852.60495704 204965.1724632024, 1060856.930292103 204999.7977413851, 1060899.896645342 205261.1600975532, 1060936.888982754 205483.1557203163, 1061016.842125356 205967.2427094808, 1061017.903481958 205982.1837225971, 1061105.246473343 205969.3440770327))",January-2020,3,Queens County,"[3004, 4009, 3002]","['QL20001079', 'QL20000579', 'QL20000556']","['P', 'P', 'M']","[11426, 11426, 11426]",Queens County-1617
36081157903,157903,1579.03,Census Tract 1579.03,QN44,Glen Oaks-Floral Park-New Hyde Park,36081,"POLYGON ((1063832.605915026 207684.3044049548, 1064082.067086405 207755.4398555111, 1064332.356980367 207826.9449436262, 1064582.367075677 207898.8160266993, 1064832.654031938 207970.326276896, 1065082.108148746 208041.8363411989, 1065331.560803012 208113.3489708076, 1065581.843361842 208184.8669511006, 1065841.815136 208258.9704190666, 1066100.952740263 208333.4381995228, 1066350.953665554 208404.9631810007, 1066600.398886794 208476.4888588511, 1066855.934287314 208549.4951656324, 1067113.147030343 208617.773556304, 1067248.734016705 208676.8945066338, 1067278.774005809 208725.4536297161, 1067301.990688847 208743.3854067469, 1067309.746197125 208744.5049436987, 1067296.770355925 208730.2515302695, 1067286.555692484 208718.9222392459, 1067275.340964273 208675.8924930458, 1067204.759928413 208407.8658792533, 1067044.030337436 208082.3314824636, 1066833.152486173 207751.8912166822, 1066782.394252175 207601.6131457739, 1066721.28252823 207480.4467027563, 1066672.007691855 207382.6379553609, 1066472.255883334 207036.9367203619, 1066415.326587714 206907.4055792789, 1066298.937424423 206658.5365066483, 1066118.946095614 206284.8514332499, 1066047.486447621 206107.1802042559, 1066044.737081555 206100.6129404776, 1066041.153820359 206094.7715342964, 1065934.471913819 205923.9043487828, 1065796.024560658 205638.1659436963, 1065601.045319339 205266.2562342967, 1065422.400327069 204898.0461007563, 1065297.810129705 204609.0780220797, 1065279.933138889 204567.4843763881, 1065028.248330738 204489.4070721152, 1064882.882128483 204445.2038896273, 1064785.685409203 204418.2849692483, 1064719.774387277 204401.6714373013, 1064641.138984018 204377.364954951, 1064498.250255082 204337.9086146536, 1064490.64635629 204374.3167872655, 1064473.646181057 204654.0684010658, 1064454.94610826 204945.1087658825, 1064457.534195188 205168.453528717, 1064376.442039859 205721.2435373329, 1064355.139378531 205793.6755512506, 1064212.472979906 206278.1328029728, 1064105.263468547 206516.7825663829, 1064064.512149817 206604.452886031, 1064043.021454267 206650.2882406425, 1063964.038168532 206818.3507705112, 1063925.525282888 206899.8350132147, 1063816.12213843 207133.0138914816, 1063707.575134857 207359.2737439604, 1063589.512490689 207614.6496690094, 1063832.605915026 207684.3044049548))",January-2020,1,Queens County,[1007],['QL20000970'],['P'],[11001],Queens County-1579.03
36081157901,157901,1579.01,Census Tract 1579.01,QN44,Glen Oaks-Floral Park-New Hyde Park,36081,"POLYGON ((1064521.493063836 211892.4419341416, 1064731.303924708 212041.7850564083, 1064964.345447701 212203.5946142079, 1065181.992899165 212410.8968685956, 1065403.860923619 212597.8124981548, 1065651.763985906 212786.6391581338, 1065812.38160513 212894.2926736731, 1065866.287468936 212930.9073187526, 1066004.269597573 213012.9826050547, 1066088.094442261 213050.7915496501, 1066254.511985444 213162.8395848309, 1066308.257775235 213164.4785790711, 1066499.326069241 213278.4333338324, 1066584.417130984 213350.8600621063, 1066778.771479917 213475.3938811813, 1066885.347737123 213584.3281902847, 1066963.31764981 213144.1134655159, 1066998.916097763 212942.3935615756, 1067049.489922552 212249.6021573559, 1067125.628796381 211617.3777901805, 1067133.991413339 211521.5864557605, 1067165.11309545 210846.9459438066, 1067218.931156523 210180.3985598719, 1067301.950144065 209403.1938471915, 1067307.764744215 208918.6497219714, 1067309.746197125 208744.5049436987, 1067301.990688847 208743.3854067469, 1067278.774005809 208725.4536297161, 1067248.734016705 208676.8945066338, 1067113.147030343 208617.773556304, 1066855.934287314 208549.4951656324, 1066600.398886794 208476.4888588511, 1066350.953665554 208404.9631810007, 1066100.952740263 208333.4381995228, 1065841.815136 208258.9704190666, 1065581.843361842 208184.8669511006, 1065393.415227882 208842.9516319471, 1065180.043113434 209588.3948427074, 1064993.048677719 210238.4723509146, 1064798.185889463 210924.5943816555, 1064612.598368942 211574.3154265519, 1064521.493063836 211892.4419341416))",January-2020,5,Queens County,"[6017, 4005, 5005, 5005, 2001]","['QL20000923', 'QL20000742', 'QL20000723', 'QL20000685', 'QL20000625']","['M', 'M', 'M', 'M', 'P']","[11004, 11004, 11004, 11004, 11040]",Queens County-1579.01
36081157102,157102,1571.02,Census Tract 1571.02,QN43,Bellerose,36081,"POLYGON ((1059760.018117939 209246.6724621974, 1059992.855255669 209315.5282377238, 1060086.413020293 209260.8059877473, 1060225.704724461 209114.4151547762, 1060487.33078632 208840.163640149, 1060652.647987635 208614.7966564028, 1060763.687170313 208378.3296629835, 1060786.591369323 208321.2015203947, 1060956.177428081 207799.2827262556, 1060988.370633529 207697.0068028711, 1061078.409345865 206917.9826960838, 1061042.740673015 206366.2693888267, 1061017.903481958 205982.1837225971, 1061016.842125356 205967.2427094808, 1060936.888982754 205483.1557203163, 1060820.424876659 205501.7334395775, 1060268.606308093 205590.7182354839, 1059858.290026288 205720.5967982837, 1059810.48340488 205853.4295108652, 1060083.836226897 206625.9393109306, 1059946.523155424 207200.0641917839, 1059928.835447211 207273.2400229758, 1059903.262121059 207386.8322823912, 1060152.323406734 207679.0763502505, 1060035.409722458 208111.5390620508, 1059760.018117939 209246.6724621974))",January-2020,1,Queens County,[1002],['QL20000851'],['P'],[11426],Queens County-1571.02
36081157101,157101,1571.01,Census Tract 1571.01,QN43,Bellerose,36081,"POLYGON ((1060664.846078629 210989.9258946723, 1061037.88554368 211142.3017062087, 1062119.718094613 211553.0736221839, 1062194.939278167 211339.8153883594, 1062237.73150047 211216.0793193767, 1062252.854645261 211166.2141729849, 1062298.509739327 211014.0693764749, 1062495.329902502 210472.2099750669, 1062556.621643558 210284.0470629479, 1062791.023934456 209606.7793089028, 1063010.628033504 208967.7209641618, 1063104.824781623 208718.8225975457, 1063198.419441914 208485.2246650386, 1063293.709463955 208242.1599573203, 1063406.445967139 208003.5245249117, 1063589.512490689 207614.6496690094, 1063707.575134857 207359.2737439604, 1063816.12213843 207133.0138914816, 1063925.525282888 206899.8350132147, 1063964.038168532 206818.3507705112, 1064043.021454267 206650.2882406425, 1064064.512149817 206604.452886031, 1064105.263468547 206516.7825663829, 1064212.472979906 206278.1328029728, 1064105.873148422 206247.1779282234, 1063987.643732159 206212.9063234612, 1063701.534287607 206156.5896349043, 1063432.817190293 206120.7357054228, 1063173.798246637 206085.2806126521, 1062915.33166809 206050.1944093159, 1062661.844762721 206017.6773758618, 1062398.110938754 205982.5796728373, 1062139.921657396 205946.7739595236, 1061704.987696169 205886.3604773571, 1061454.915058214 205912.1602483326, 1061105.246473343 205969.3440770327, 1061017.903481958 205982.1837225971, 1061042.740673015 206366.2693888267, 1061078.409345865 206917.9826960838, 1060988.370633529 207697.0068028711, 1060956.177428081 207799.2827262556, 1060786.591369323 208321.2015203947, 1060763.687170313 208378.3296629835, 1060652.647987635 208614.7966564028, 1060487.33078632 208840.163640149, 1060225.704724461 209114.4151547762, 1060086.413020293 209260.8059877473, 1059992.855255669 209315.5282377238, 1060234.819698409 209389.5154915471, 1060487.186899839 209503.614525659, 1060163.662008757 210256.4068076181, 1059967.738507631 210704.6539436974, 1060664.846078629 210989.9258946723))",January-2020,2,Queens County,"[6007, 4005]","['QL20001067', 'QL20000873']","['M', 'P']","[11426, 11426]",Queens County-1571.01
36081155102,155102,1551.02,Census Tract 1551.02,QN44,Glen Oaks-Floral Park-New Hyde Park,36081,"POLYGON ((1059321.004123081 211687.4392206306, 1059442.010655648 211981.466870798, 1059624.198789398 212648.3987174395, 1059891.714710073 213048.1767251237, 1060260.821704743 213385.9745987346, 1060763.353196859 213846.2503890413, 1061017.331289899 214136.3338032675, 1061103.208099019 214314.765054902, 1061388.011826324 214927.7503115123, 1061495.91318436 215148.1515009222, 1061520.146242946 214933.271346695, 1061716.26733401 214855.5646900005, 1062446.5728894 214596.3147486836, 1062543.25179927 214771.8712999189, 1063119.958665711 214635.6559256349, 1063388.946618397 214559.657025073, 1063543.868272607 213950.9956083798, 1063746.654201746 213280.9195448233, 1063980.241421713 213527.9757637977, 1064090.405379322 213644.9249026972, 1065196.061925164 214921.572043365, 1065402.513421815 214740.8229163456, 1065609.245040075 214560.0764875056, 1065624.806239459 214546.2839478638, 1065736.786359213 214448.6536931665, 1065864.32884825 214337.2315740913, 1066362.798612072 213995.7098843907, 1066458.025056781 213938.1030756411, 1066553.530246773 213880.1332511375, 1066581.848187776 213863.1055797588, 1066609.889110785 213846.0770013204, 1066764.662400131 213713.6206410728, 1066885.347737123 213584.3281902847, 1066778.771479917 213475.3938811813, 1066584.417130984 213350.8600621063, 1066499.326069241 213278.4333338324, 1066308.257775235 213164.4785790711, 1066254.511985444 213162.8395848309, 1066088.094442261 213050.7915496501, 1066004.269597573 213012.9826050547, 1065866.287468936 212930.9073187526, 1065812.38160513 212894.2926736731, 1065651.763985906 212786.6391581338, 1065403.860923619 212597.8124981548, 1065181.992899165 212410.8968685956, 1064964.345447701 212203.5946142079, 1064731.303924708 212041.7850564083, 1064521.493063836 211892.4419341416, 1064295.638917069 211733.9393764451, 1064069.213275798 211579.8090688215, 1063654.549677592 211284.4314337478, 1063394.67713147 211102.8730318757, 1063168.807095364 210944.7453382561, 1062982.707830308 210826.0967950853, 1062725.626921461 210635.0819965052, 1062495.329902502 210472.2099750669, 1062298.509739327 211014.0693764749, 1062252.854645261 211166.2141729849, 1062237.73150047 211216.0793193767, 1062194.939278167 211339.8153883594, 1062119.718094613 211553.0736221839, 1061859.792865207 212425.1853347384, 1061089.502200895 212168.0649818781, 1060956.418391397 212545.8227047529, 1060088.022294934 212470.591264394, 1059886.617139403 212461.21876395, 1059843.527159751 212240.2981508222, 1059806.755885599 212036.5209980917, 1059715.989488878 211820.9172918151, 1059637.63234563 211713.1953021548, 1059535.94321362 211712.8796688759, 1059235.754849389 211567.6742093273, 1059321.004123081 211687.4392206306))",January-2020,8,Queens County,"[5000, 3000, 4005, 4005, 3017, 6000, 6000, 4005]","['QL20000924', 'QL20000934', 'QL20000892', 'QL20000814', 'QL20000622', 'QL20000606', 'QL20000395', 'QL20000086']","['P', 'P', 'P', 'P', 'M', 'P', 'P', 'P']","[11004, 11005, 11004, 11004, 11040, 11004, 11005, 11004]",Queens County-1551.02
36081152901,152901,1529.01,Census Tract 1529.01,QN45,Douglas Manor-Douglaston-Little Neck,36081,"POLYGON ((1055929.818716171 214294.9261100183, 1056454.103044858 214728.216179813, 1056509.02852337 215077.0474456612, 1056477.444996764 215170.2229781902, 1056984.681487001 215551.0098773178, 1057366.137012786 215836.7012596548, 1057609.377153088 216019.6025210915, 1058548.105385016 216519.4106138113, 1058582.272098808 216398.9205342583, 1058663.95096136 216142.6794069337, 1058880.641975007 215675.9037948517, 1059147.560123104 215185.239076174, 1059410.853536818 214705.4961581257, 1059460.125871458 214629.8672809286, 1059630.595225039 214335.6497754208, 1059905.97519241 213895.2979669156, 1060111.693001152 213584.7987635988, 1060196.816751912 213475.4004182029, 1060260.821704743 213385.9745987346, 1059891.714710073 213048.1767251237, 1059624.198789398 212648.3987174395, 1059442.010655648 211981.466870798, 1059321.004123081 211687.4392206306, 1059235.754849389 211567.6742093273, 1059212.900925843 211520.9688887934, 1058776.545076675 210780.7563535352, 1058593.870711669 210531.720613711, 1058419.74590048 210294.7354152267, 1058058.78388163 209988.3236185247, 1058023.647594305 210061.0835090269, 1057858.010185956 210311.9707966277, 1057811.118776014 210332.2313228639, 1057757.179741482 210392.1829542502, 1057715.618790919 210482.4118538047, 1057680.17783418 210656.4560668367, 1057674.845180647 210770.4763541697, 1057686.986979012 210878.7201726314, 1057684.206568363 210973.4385065273, 1057694.218593695 211052.8935351679, 1057695.717971487 211106.8194538821, 1057689.358553387 211193.8759588845, 1057680.616719142 211244.1275584109, 1057662.118476847 211313.6593368491, 1057636.703106672 211379.8912125964, 1057628.830151209 211417.7581149785, 1057607.001664924 211489.101540087, 1057583.837421324 211544.0459330623, 1057561.821231544 211585.8778024323, 1057117.892115779 211967.4557471877, 1056967.325507058 212097.0713344895, 1056759.296405571 212355.8546180656, 1056620.312581972 212598.086122308, 1056469.626313728 212863.2366457115, 1056327.887336946 213102.1826526535, 1056046.50573654 213342.5376729672, 1055915.438642113 213535.2472761346, 1055888.883375949 213614.5936750683, 1055791.636173529 213895.9369685225, 1055929.818716171 214294.9261100183))",January-2020,2,Queens County,"[3006, 1004]","['QL20001052', 'QL20000740']","['P', 'P']","[11362, 11362]",Queens County-1529.01
36081148300,148300,1483,Census Tract 1483,QN45,Douglas Manor-Douglaston-Little Neck,36081,"POLYGON ((1053257.671827863 224601.8603207673, 1053302.717817151 224537.8654609835, 1053400.108143577 224472.9268310554, 1053602.655156767 224242.5163665948, 1053644.621989593 224190.5364132041, 1054038.453061362 223702.3637424817, 1054365.632720075 223187.0439829862, 1054474.390550675 223120.685194362, 1054624.124282886 223154.6379282262, 1054623.954128789 223213.2954194091, 1054355.710070175 223553.9009803177, 1054347.040579473 223678.8429584296, 1054383.835360239 223692.4297118518, 1054492.674320649 223597.2887378988, 1054751.44801302 223371.058452717, 1055091.830092593 223083.4964326296, 1055310.858758114 222908.8917178356, 1055834.391017612 222504.9256602361, 1056049.482708408 222353.9977999055, 1056158.934554048 222243.1997168373, 1056358.678469468 222132.3059907991, 1056411.444511279 222084.3706288418, 1056437.847123113 222053.8450154109, 1055698.777028848 221343.3897252895, 1055347.54779683 220974.0152191769, 1055120.569198987 220735.0760756023, 1055046.844342067 220656.5288243988, 1054989.135036887 220594.7878967584, 1054803.852013661 220397.871886493, 1054738.131173891 220328.4572382154, 1054459.785493066 220032.5389668454, 1054400.968413457 219969.7032526278, 1054359.822501137 219926.2284829787, 1054274.222133257 219833.8045861114, 1054179.234937483 219730.4238982791, 1054008.307778829 219545.5784953679, 1053937.597510376 219475.7873740984, 1053852.246896636 219391.7454076048, 1053583.27881612 219102.4222916633, 1052595.032426684 218283.8735249556, 1052560.639520872 218397.8133744878, 1052105.446685063 219908.1604196111, 1052066.601085369 220031.196948315, 1052054.025687654 220070.8742882301, 1051979.664449785 220216.0361590291, 1051927.862716774 220317.1766731926, 1051906.463477809 220442.0838189657, 1052180.166078754 220625.0159777597, 1052222.461399131 220654.645552658, 1052443.337330852 220808.6503168989, 1052515.509747976 220851.1161193499, 1052491.194412944 220928.6510448735, 1052345.535571884 221410.6212146292, 1052315.679876639 221488.8694513818, 1052296.425855292 221539.8223366043, 1052057.890580151 222255.8014506976, 1052113.222080223 222574.7493613168, 1052134.48329687 222696.8611086886, 1052307.870268623 223384.1187194111, 1052366.265286367 223497.5908721939, 1052746.919564522 224237.8990438519, 1053257.671827863 224601.8603207673))",January-2020,2,Queens County,"[4015, 3017]","['QL20000491', 'QL20000034']","['M', 'M']","[11363, 11363]",Queens County-1483
36081147100,147100,1471,Census Tract 1471,QN46,Bayside-Bayside Hills,36081,"POLYGON ((1048393.654659747 216389.888956271, 1048653.680189779 216429.9257396859, 1048549.366824705 216904.7407634082, 1048465.256313617 217283.7898818245, 1048719.133218898 217340.5705087599, 1048973.298592542 217392.618220965, 1048944.414191008 217524.4301821737, 1048959.527640903 217570.3765932651, 1049188.817278547 217600.5001970302, 1049340.01463583 217620.579344971, 1049459.089819663 217636.2010816572, 1049648.501937635 217661.1212232676, 1049916.559002011 217696.0925682346, 1049978.865395967 217704.2766133337, 1050174.644798599 217730.3111163769, 1050218.121047027 217735.8942859134, 1050389.491017159 217773.522875336, 1050684.948087913 217816.5927701756, 1050944.673585145 217858.1106926284, 1050973.531404037 217739.7813638745, 1051048.845309627 217450.3427882104, 1051224.170675639 217460.2987471388, 1051236.037693123 217376.1702795019, 1051241.533367764 217292.0242300346, 1051271.001670209 217154.0229114269, 1051257.559123985 217006.0660814802, 1051156.228455601 216984.2907648381, 1051290.82450406 216396.2625133305, 1050668.183940416 216249.5453908658, 1050633.023016257 216241.4338317998, 1050390.033595478 216151.5084955716, 1050074.433191097 216071.2255557387, 1049813.668530233 215996.5598281176, 1049563.139783887 215926.6607979491, 1049312.054553844 215857.127201981, 1049060.967890868 215787.5962058043, 1048810.988909771 215717.7064261095, 1048446.397020873 215616.5473820932, 1048350.985191575 215868.049925087, 1048262.007603419 216096.6167934642, 1048150.548164228 216341.8841593181, 1048393.654659747 216389.888956271))",January-2020,1,Queens County,[2004],['QL20000186'],['M'],[11361],Queens County-1471
36081146700,146700,1467,Census Tract 1467,QN46,Bayside-Bayside Hills,36081,"POLYGON ((1045574.391187319 217126.935024923, 1045646.668596331 217136.9548075962, 1045895.089985646 217163.4523355368, 1046179.768789942 217202.4322723022, 1046449.493265421 217239.1912112384, 1046697.065756652 217271.8884589907, 1047477.440357686 217375.1941382914, 1047751.040174673 217411.6133205062, 1048421.747097448 217499.7249538989, 1048660.729738368 217531.3265356418, 1048959.527640903 217570.3765932651, 1048944.414191008 217524.4301821737, 1048973.298592542 217392.618220965, 1048719.133218898 217340.5705087599, 1048465.256313617 217283.7898818245, 1048549.366824705 216904.7407634082, 1048653.680189779 216429.9257396859, 1048393.654659747 216389.888956271, 1048150.548164228 216341.8841593181, 1047890.858098404 216278.9006107293, 1047648.939488192 216199.5712393456, 1047463.220691227 216134.2353055459, 1047403.709141989 216114.7706581039, 1047159.868862333 216027.4258282871, 1046920.454669272 215941.9165556797, 1046797.566211836 215897.1507714303, 1046669.691612034 215852.0084519177, 1046425.292926258 215764.3052556824, 1046174.77442586 215685.6972575501, 1046025.034801357 215631.3942147507, 1045968.349622847 215588.9872610229, 1045843.70511451 216016.398524181, 1045668.764662185 216615.6487655787, 1045603.543532453 216772.5117219712, 1045463.072221747 217109.5302609293, 1045574.391187319 217126.935024923))",January-2020,3,Queens County,"[1003, 3000, 3000]","['QL20001105', 'QL20000739', 'QL20000339']","['P', 'M', 'M']","[11361, 11361, 11361]",Queens County-1467
