,zip_code,gas_leaks
0,10001,453
1,10002,2031
2,10003,1113
3,10004,70
4,10005,47
5,10006,36
6,10007,164
7,10009,1856
8,10010,428
9,10011,992
10,10012,670
11,10013,653
12,10014,920
13,10016,709
14,10017,252
15,10018,183
16,10019,754
17,10020,7
18,10021,1203
19,10022,424
20,10023,694
21,10024,987
22,10025,1565
23,10026,1091
24,10027,1770
25,10028,539
26,10029,2628
27,10030,917
28,10031,1188
29,10032,1028
30,10033,705
31,10034,627
32,10035,1389
33,10036,419
34,10037,478
35,10038,242
36,10039,814
37,10040,639
38,10044,1
39,10128,772
40,10280,8
41,10301,408
42,10302,150
43,10303,247
44,10304,494
45,10305,388
46,10306,330
47,10307,110
48,10308,227
49,10309,223
50,10310,264
51,10312,489
52,10314,570
53,10451,1341
54,10452,1036
55,10453,1130
56,10454,1004
57,10455,876
58,10456,2208
59,10457,1254
60,10458,1332
61,10459,608
62,10460,1009
63,10461,611
64,10462,913
65,10463,1153
66,10464,95
67,10465,584
68,10466,1220
69,10467,1701
70,10468,973
71,10469,1149
72,10470,205
73,10471,300
74,10472,1207
75,10473,1235
76,10474,221
77,10475,1075
78,11004,181
79,11005,5
80,11101,998
81,11102,541
82,11103,683
83,11104,342
84,11105,557
85,11106,697
86,11201,1012
87,11203,957
88,11204,422
89,11205,730
90,11206,1879
91,11207,1841
92,11208,1274
93,11209,577
94,11210,578
95,11211,1218
96,11212,2234
97,11213,1285
98,11214,579
99,11215,874
100,11216,978
101,11217,668
102,11218,478
103,11219,475
104,11220,537
105,11221,1642
106,11222,484
107,11223,618
108,11224,861
109,11225,736
110,11226,1353
111,11228,274
112,11229,821
113,11230,629
114,11231,897
115,11232,232
116,11233,1699
117,11234,857
118,11235,553
119,11236,1177
120,11237,767
121,11238,701
122,11239,157
123,11251,5
124,11354,608
125,11355,496
126,11356,308
127,11357,500
128,11358,397
129,11360,296
130,11361,393
131,11362,299
132,11363,128
133,11364,497
134,11365,661
135,11366,212
136,11367,724
137,11368,424
138,11369,154
139,11370,120
140,11372,441
141,11373,467
142,11374,321
143,11375,593
144,11377,795
145,11378,260
146,11379,226
147,11385,672
148,11411,173
149,11412,364
150,11413,394
151,11414,271
152,11415,132
153,11416,132
154,11417,156
155,11418,260
156,11419,212
157,11420,256
158,11421,171
159,11422,234
160,11423,187
161,11426,364
162,11427,273
163,11428,96
164,11429,199
165,11430,2
166,11432,540
167,11433,631
168,11434,545
169,11435,358
170,11436,190
171,11691,922
172,11692,235
173,11693,179
174,11694,228
175,11697,19
176,99999,399
