,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid
1,2.66,37.75,34.75,9.75,2.5,39,36001000100
2,2.38,47.487550928021726,42.19103666817565,8.329560887279312,4.979628791308284,71,36001000200
3,2.39,57.31160896130346,49.93890020366599,20.203665987780038,1.6293279022403258,173,36001000300
4,1.72,62.65884652981427,52.883675464320625,28.445747800586513,0.0,156,36001000401
5,1.91,58.67256637168141,43.93805309734513,12.743362831858407,0.0,466,36001000403
6,-666666666,100.0,100.0,100.0,0.0,202,36001000404
7,2.16,54.48954489544895,42.74292742927429,10.33210332103321,0.0,77,36001000501
8,1.94,69.67592592592592,52.19907407407407,10.185185185185185,0.23148148148148145,234,36001000502
9,3.04,63.1879914224446,33.09506790564689,2.7877055039313796,1.0007147962830594,695,36001000600
10,2.71,41.52727272727273,37.09090909090909,9.309090909090909,1.4545454545454546,252,36001000700
11,2.54,58.08383233532935,46.467065868263475,8.1437125748503,0.5988023952095809,174,36001000800
12,1.55,85.60830860534125,70.17804154302671,27.1513353115727,0.0,18,36001001100
13,1.39,84.89560195468681,69.7912039093736,8.973789426921368,0.0,235,36001001400
14,2.14,71.22093023255815,43.21705426356589,8.963178294573645,0.436046511627907,189,36001001500
15,2.32,63.725490196078425,34.57516339869281,12.352941176470589,0.0,213,36001001600
16,2.41,52.30689476412649,28.978745463970967,7.4650077760497675,1.7107309486780715,280,36001001700
17,2.1,49.64391691394659,39.58456973293769,19.020771513353115,0.5341246290801187,490,36001001801
18,2.05,53.523903400689996,40.364711680630855,13.30704780680138,0.7392804337111878,298,36001001802
19,2.33,47.001763668430335,31.746031746031743,11.552028218694884,0.0,56,36001001901
20,2.15,49.711934156378604,39.75308641975309,18.353909465020575,0.0,32,36001001902
21,2.6,49.48892674616695,36.66950596252129,8.858603066439523,1.6609880749574104,221,36001002000
22,2.22,60.106951871657756,45.56149732620321,3.7433155080213902,0.0,284,36001002100
23,1.76,76.521116678597,59.985683607730856,14.101646385110952,0.0,361,36001002200
24,1.82,67.36842105263158,54.52631578947369,4.526315789473685,0.0,208,36001002300
25,1.94,61.13393590797042,55.13557929334429,14.626129827444537,0.3286770747740345,80,36001002500
26,2.6,31.17408906882591,28.18825910931174,3.7449392712550607,4.8582995951417,496,36001002600
27,1.84,54.824935952177626,44.064901793339025,10.930828351836038,1.7079419299743808,58,36001012700
28,2.22,49.30555555555556,34.91161616161616,9.785353535353536,3.535353535353535,86,36001012800
29,1.98,57.672634271099746,51.023017902813294,17.902813299232736,4.411764705882353,41,36001012900
30,2.29,41.98876775685497,35.150313842087876,11.265279154278163,0.0,95,36001013000
31,2.54,42.98245614035088,29.922027290448344,10.428849902534113,2.046783625730994,123,36001013100
32,2.06,55.66197183098591,48.50704225352113,18.76056338028169,4.732394366197183,8,36001013200
33,2.13,50.19417475728155,38.44660194174757,7.3300970873786415,0.3883495145631068,193,36001013300
34,2.14,43.90243902439025,41.36585365853659,10.926829268292684,0.0,13,36001013400
35,2.47,39.35589519650655,35.20742358078602,5.786026200873363,0.0,132,36001013503
36,2.37,39.28934010152284,37.46192893401015,15.532994923857867,1.015228426395939,7,36001013505
37,2.48,36.27145085803432,31.903276131045246,9.048361934477379,0.39001560062402496,400,36001013506
38,2.66,29.310344827586203,20.88122605363985,5.747126436781609,0.0,248,36001013507
