,total_housholds,family_housholds,nonfamily_housholds,householder_living_alone,householder_over65_living_alone,grandparents_responsible_for_grandchildren,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid
1,1129,852,277,173,51,0,2.67,24.53498671390611,15.323294951284321,4.517271922054915,0.0,105,36091061404
2,1488,907,581,472,226,30,2.39,39.045698924731184,31.72043010752688,15.188172043010754,2.0161290322580645,44,36095740500
3,790,499,291,212,78,24,2.63,36.835443037974684,26.83544303797468,9.873417721518987,3.0379746835443036,13,36089492900
4,1466,895,571,459,227,1,2.21,38.94952251023192,31.309686221009546,15.484311050477489,0.06821282401091405,126,36089492100
5,3285,1840,1445,1211,298,37,2.1,43.987823439878234,36.864535768645354,9.071537290715373,1.1263318112633183,468,36091062405
6,2655,1735,920,755,382,150,2.3,34.65160075329567,28.436911487758948,14.387947269303202,5.649717514124294,183,36089492700
7,1240,692,548,456,303,8,2.17,44.193548387096776,36.774193548387096,24.43548387096774,0.6451612903225806,16,36091060601
8,1966,1590,376,201,70,0,2.56,19.12512716174975,10.22380467955239,3.560528992878942,0.0,23,36091060602
9,1218,759,459,391,150,17,3.02,37.68472906403941,32.10180623973727,12.31527093596059,1.3957307060755337,47,36093033200
10,703,244,459,369,64,0,2.2,65.29160739687056,52.48933143669986,9.103840682788052,0.0,185,36093033400
11,1123,770,353,243,99,43,2.62,31.43365983971505,21.638468388245773,8.81567230632235,3.829029385574354,34,36089492400
12,1123,740,383,278,119,35,2.36,34.10507569011576,24.75512021371327,10.596616206589493,3.1166518254674975,36,36089492800
13,1730,1233,497,381,166,38,2.5,28.728323699421964,22.023121387283236,9.595375722543352,2.1965317919075145,59,36091062508
14,0,0,0,0,0,0,-666666666,,,,,36,36095740300
15,1044,181,863,697,159,0,1.64,82.66283524904215,66.76245210727969,15.229885057471265,0.0,22,36093033500
