,unemployed,unemployed%,mean_houshold_income,geoid
0,44,6.5,151853,36047004600
1,144,12.2,133271,36047004700
2,12,0.9,163336,36047004900
3,97,7.0,126365,36047005000
4,44,3.2,123666,36047005100
5,49,7.0,82223,36047005201
6,98,6.7,88624,36047005202
7,143,9.4,100358,36047005300
8,145,8.4,83399,36047005400
9,167,11.3,77350,36047005601
10,33,3.8,99949,36047005602
11,130,6.5,70867,36047005800
12,113,12.1,74136,36047005900
13,201,13.6,89999,36047006000
14,184,12.6,71343,36047006200
15,46,3.9,121787,36047006300
16,165,9.5,89219,36047006400
17,197,5.3,172726,36047006500
18,400,18.4,89242,36047006600
19,251,9.3,184186,36047006700
20,237,9.7,56478,36047006800
21,60,2.3,178936,36047006900
22,101,10.0,61459,36047007000
23,404,18.5,71164,36047007100
24,64,5.7,41156,36047007200
25,244,8.6,64410,36047007400
26,219,6.8,180866,36047007500
27,272,12.1,52504,36047007600
28,146,5.1,157901,36047007700
29,291,10.0,57742,36047007800
30,189,8.2,74493,36047008000
31,212,10.2,51472,36047008200
32,139,7.1,64066,36047008400
33,703,28.2,29209,36047008500
34,0,-666666666.0,-666666666,36047008600
35,187,9.5,61221,36047008800
36,110,6.2,46964,36047009000
37,257,9.4,48023,36047009200
38,314,10.1,59837,36047009400
39,300,10.9,47799,36047009600
40,315,8.6,48486,36047009800
41,315,10.1,41869,36047010000
42,256,10.3,64474,36047010100
43,208,8.1,49697,36047010200
44,347,11.0,51603,36047010400
45,243,8.8,48682,36047010600
46,186,8.8,47382,36047010800
47,68,5.4,59216,36047011000
48,223,8.5,41408,36047011200
49,199,4.7,60454,36081027500
50,27,4.4,66840,36081027600
51,258,6.1,58536,36081027700
52,191,18.4,48314,36081027800
53,246,7.4,59505,36081027900
54,85,8.0,86125,36081028000
55,163,6.2,68113,36081028100
56,114,12.8,78409,36081028200
57,151,3.4,66497,36081028300
58,189,8.3,75227,36081028400
59,309,10.7,88523,36081028500
60,124,3.4,71264,36081028700
61,281,11.8,66570,36081028800
62,192,6.0,68267,36081028900
63,248,7.9,52005,36081029100
64,25,3.9,67174,36081029300
65,401,11.2,77193,36081029400
66,136,5.7,78235,36081029500
67,36,3.5,69422,36081029700
68,0,-666666666.0,-666666666,36081029900
69,258,11.9,78900,36081030600
70,372,10.2,54771,36081030902
71,372,11.4,71526,36081030903
72,279,13.5,73980,36081030904
73,220,6.2,93016,36081031700
74,411,16.4,85040,36081032000
75,199,8.2,72341,36081032700
76,114,9.1,73084,36081032800
77,144,6.7,72227,36081032900
78,475,12.6,82682,36081033000
79,0,-666666666.0,-666666666,36081033100
80,242,13.1,75802,36081033401
81,649,9.1,53065,36081033402
82,64,3.1,68228,36081033700
83,140,8.0,72951,36081033900
84,278,15.3,66555,36081034700
85,294,13.3,67432,36081035100
86,132,8.3,95305,36081035200
87,137,11.4,55463,36081035300
88,118,6.3,63078,36081035700
89,172,7.7,88782,36081035800
90,146,10.3,68550,36081036100
91,48,4.2,70807,36081036300
92,262,12.4,65395,36081036500
93,259,16.4,70051,36081036600
94,77,5.6,64089,36081036700
95,151,10.8,84810,36081036800
96,110,11.5,70749,36081037100
97,83,6.2,69845,36047027400
98,395,16.6,74621,36047027500
99,221,9.9,67805,36047027600
100,471,22.2,48860,36047027700
101,309,18.2,59240,36047027800
102,268,12.8,68967,36047027900
103,129,13.6,78216,36047028000
104,372,19.3,35823,36047028100
105,145,8.9,65377,36047028200
106,417,22.5,40059,36047028300
107,261,13.8,65247,36047028400
108,24,10.9,104685,36047028501
109,250,28.4,23888,36047028502
110,94,4.2,58824,36047028600
111,163,12.1,47026,36047028700
112,99,5.6,58269,36047028800
113,461,25.8,48565,36047028900
114,202,9.6,60455,36047029000
115,327,20.8,58727,36047029100
116,113,9.3,59079,36047029200
117,316,20.1,52613,36047029300
118,119,11.4,66874,36047029400
119,135,6.0,74852,36047029500
120,255,9.4,68501,36047029600
121,403,19.3,73538,36047029700
122,106,5.5,100129,36047029800
123,153,16.4,33976,36047029900
124,104,5.3,79513,36047030000
125,230,18.5,57586,36047030100
126,254,11.9,73183,36047030200
127,312,16.9,34925,36047030300
128,144,9.2,50259,36047030400
129,277,7.0,73759,36047030500
130,66,7.5,73762,36047030600
131,262,13.2,35550,36047030700
132,72,7.2,63135,36047030800
133,104,11.4,46651,36047030900
134,127,9.8,54293,36047031100
135,159,8.2,51433,36047031300
136,167,8.6,59851,36047031400
137,526,16.8,62472,36047031500
138,199,8.7,72269,36047031701
139,292,11.9,68022,36047031702
140,342,19.5,51731,36047031900
141,382,12.5,63018,36047032100
142,380,16.5,68512,36047032300
143,580,14.7,58964,36047032500
144,601,21.7,35971,36047032600
145,181,11.5,68303,36047032700
146,135,6.6,53918,36055013902
147,146,6.4,58130,36055014001
148,93,4.0,50560,36055014003
149,87,4.1,62183,36055014004
150,45,2.4,69478,36055014102
151,114,5.3,67972,36055014103
152,206,12.2,69181,36055014104
153,209,5.9,61641,36055014202
154,188,4.8,58197,36055014203
155,68,4.8,75046,36055014204
156,127,8.5,38596,36055014301
157,309,12.1,60397,36055014302
158,107,4.1,63073,36055014400
159,96,4.3,86250,36055014501
160,89,4.7,67128,36055014503
161,168,4.8,89376,36055014504
162,227,8.1,71176,36055014505
163,173,5.6,70782,36055014601
164,303,10.9,64193,36055014602
165,181,6.4,68052,36055014700
166,189,6.8,73900,36055014802
167,100,4.9,87702,36055014803
168,166,4.3,68039,36055014804
169,195,6.0,76946,36055014901
170,219,7.0,97909,36055014903
171,180,5.5,73850,36055014905
172,142,7.0,88266,36055014906
173,104,3.4,75659,36055015000
174,178,6.3,68750,36055015101
175,171,7.9,61851,36055015102
176,122,3.3,71145,36055015200
177,124,9.5,41033,36055015301
178,212,11.9,62524,36055015303
179,155,6.7,52038,36055015304
180,94,5.4,81453,36055015400
181,0,-666666666.0,-666666666,36055980000
182,0,0.0,78691,36055980100
183,0,-666666666.0,-666666666,36055990000
184,98,11.5,35858,36057070200
185,181,18.2,42430,36057070300
186,88,9.6,60619,36057070400
187,109,9.2,73988,36057070500
188,127,12.6,54585,36057070600
189,151,10.3,56036,36057070700
190,64,5.4,40046,36057070800
191,143,17.9,34957,36057070900
192,247,8.2,68494,36057072100
193,265,14.6,35909,36061022302
194,370,11.7,43005,36061022400
195,693,12.2,55166,36061022500
196,153,7.2,60382,36061022600
197,309,9.9,73172,36061022700
198,701,20.8,61167,36061022800
199,700,14.5,54268,36061022900
200,718,13.9,59149,36061023000
201,403,9.7,65148,36061023100
202,775,18.4,35720,36061023200
203,247,6.4,62776,36061023300
204,606,18.9,53291,36061023400
205,463,14.0,50966,36061023501
206,154,14.7,40750,36061023502
207,741,23.8,59545,36061023600
208,364,8.3,52799,36061023700
209,269,5.1,114123,36061023801
210,62,7.0,132996,36061023802
211,233,14.0,54062,36061023900
212,185,52.1,-666666666,36061024000
213,508,10.6,60731,36061024100
214,162,10.4,37278,36061024200
215,402,18.4,58560,36061024301
216,882,29.7,29620,36061024302
217,881,10.3,43255,36061024500
218,374,9.4,63724,36061024700
219,154,22.4,44795,36061024900
220,225,18.4,52065,36061025100
221,1164,17.8,46711,36061025300
222,343,11.7,60563,36061025500
223,206,8.5,113994,36061025700
224,286,11.9,82420,36061025900
225,1402,19.4,41982,36061026100
226,665,12.1,47858,36061026300
227,513,10.2,78680,36061026500
228,105,10.0,56895,36061026700
229,520,10.4,45671,36061026900
230,779,13.7,66387,36061027100
231,513,11.6,84618,36061027300
232,336,14.9,119949,36061027500
233,290,10.0,42100,36061027700
234,634,9.6,54379,36061027900
235,117,6.1,132014,36061028100
236,281,6.1,54327,36061028300
237,1095,23.4,43959,36061028500
238,267,10.2,66931,36061028700
239,1393,21.1,44323,36061029100
240,792,15.8,45208,36061029300
241,33,2.5,73979,36081037300
