,unemployed%,median_houshold_income,mean_houshold_income,geoid
0,3.5,85000,103227,36067016801
1,6.9,69091,81328,36067016802
2,3.2,64663,88921,36067016901
3,3.2,74244,86120,36067016902
4,0.0,-666666666,-999999999,36067940000
5,1.1,111780,126469,36069050101
6,4.0,83153,125256,36069050102
7,7.8,60873,70379,36069050201
8,3.4,71438,85214,36069050202
9,5.3,51944,59471,36069050301
10,6.6,47179,59161,36069050302
11,3.9,57500,72288,36069050400
12,9.9,57460,75538,36069050500
13,3.6,66855,90868,36069050601
14,4.9,53672,62765,36069050602
15,11.0,45438,72572,36069050800
16,2.8,67697,85482,36069050900
17,5.4,40208,64885,36069051000
18,6.5,36964,49427,36069051100
19,4.6,62344,68552,36069051200
20,6.5,60893,72866,36069051300
21,2.6,66726,80921,36069051400
22,11.3,49103,63329,36069051500
23,6.1,44375,58922,36069051600
24,10.8,34674,44645,36069051700
25,11.7,28505,35529,36069051800
26,3.0,46719,64385,36069051900
27,3.5,61572,67850,36069052000
28,3.6,70400,84184,36069052100
29,6.5,47108,56700,36069052200
30,10.7,50096,67861,36071000100
31,6.4,53478,69003,36071000200
32,10.8,40000,51339,36071000300
33,22.3,25682,39906,36071000400
34,13.0,27989,40930,36071000501
35,10.5,31964,43850,36071000502
36,6.6,29767,46553,36071000600
37,6.4,51569,69091,36071001100
38,8.4,39653,55441,36071001200
39,4.9,90469,92321,36071001300
40,6.7,45793,63241,36071001500
41,8.7,57836,67442,36071001600
42,8.9,44756,64126,36071002100
43,7.3,38221,54730,36071002200
44,6.5,51188,61454,36071002300
45,3.8,93684,100580,36071010101
46,6.2,89764,107500,36071010102
47,8.4,81563,102576,36071010200
48,10.3,31967,38488,36029002502
49,14.1,16107,22982,36029002702
50,22.3,16950,26212,36029002800
51,23.2,25076,32612,36029002900
52,12.4,22852,36493,36029003000
53,10.2,25353,40367,36029003100
54,15.1,26560,40069,36029003301
55,21.0,23817,33755,36029003302
56,7.4,24627,30759,36029003400
57,15.4,20483,27799,36029003500
58,15.6,23853,30882,36029003600
59,13.2,24300,37240,36029003700
60,17.9,24779,33213,36029003800
61,32.1,23106,34333,36029003901
62,13.1,22854,30971,36029004001
63,9.8,35417,42807,36029004100
64,16.1,35975,39531,36029004200
65,7.4,37377,46390,36029004300
66,10.8,38061,46681,36029004401
