,total_housing_units,occupied_housing_units%,vacant_housing_units%,geoid
0,1849,91.0,9.0,36005000400
1,2063,94.0,6.0,36005001600
2,805,92.5,7.5,36005001900
3,3162,95.2,4.8,36005002000
4,1991,96.4,3.6,36005002300
5,0,-666666666.0,-666666666.0,36005002400
6,2083,87.7,12.3,36005002500
7,1105,95.4,4.6,36005002701
8,1488,90.3,9.7,36005002702
9,2409,95.4,4.6,36005002800
10,553,85.5,14.5,36005003100
11,1234,93.9,6.1,36005003300
12,1336,95.4,4.6,36005003500
13,83,100.0,0.0,36005003700
14,443,91.9,8.1,36005003800
15,2278,85.9,14.1,36005003900
16,577,87.2,12.8,36005004001
17,2181,90.7,9.3,36005004100
18,2810,96.0,4.0,36005004200
19,1938,89.1,10.9,36005004300
20,1731,96.6,3.4,36005004400
21,734,90.2,9.8,36005004600
22,1409,94.1,5.9,36005004800
23,1577,92.6,7.4,36005005001
24,1909,82.9,17.1,36005005002
25,2036,96.2,3.8,36005005100
26,805,88.0,12.0,36005005200
27,1869,80.3,19.7,36005005300
28,1938,83.3,16.7,36005005400
29,1074,84.6,15.4,36005005600
30,1142,90.1,9.9,36005005902
31,392,91.3,8.7,36005006000
32,2172,91.8,8.2,36005006100
33,2490,92.4,7.6,36005006200
34,2082,96.0,4.0,36005006300
35,1426,86.9,13.1,36005006400
36,1930,91.2,8.8,36005006500
37,2432,93.3,6.7,36005006700
38,1135,86.5,13.5,36005006800
39,2607,94.7,5.3,36005006900
40,1431,88.6,11.4,36005007000
41,656,87.7,12.3,36005007100
42,1818,95.9,4.1,36005007200
43,1395,92.8,7.2,36005007300
44,1448,97.0,3.0,36005007400
45,1790,91.7,8.3,36005007500
46,1844,87.4,12.6,36005007600
47,628,94.3,5.7,36005007700
48,2205,93.7,6.3,36005007800
49,2404,90.5,9.5,36005007900
50,2146,90.6,9.4,36005008300
51,792,88.6,11.4,36005008400
52,1819,89.8,10.2,36005008500
53,1491,91.6,8.4,36005008600
54,1911,92.5,7.5,36005008700
55,1211,94.1,5.9,36005008900
56,1235,95.9,4.1,36005009000
57,1912,88.0,12.0,36005009200
58,1979,88.6,11.4,36005009300
59,775,84.9,15.1,36005009600
60,1914,89.5,10.5,36005009800
61,63,82.5,17.5,36005011000
62,1562,92.5,7.5,36005011502
63,620,91.9,8.1,36005011700
64,1763,96.1,3.9,36005011800
65,2065,93.9,6.1,36005011900
66,1033,88.6,11.4,36005012101
67,532,96.8,3.2,36005012102
68,1445,88.3,11.7,36005012300
69,1292,91.1,8.9,36005012500
70,830,96.5,3.5,36005012701
71,1501,90.6,9.4,36005012901
72,442,100.0,0.0,36005013000
73,1697,94.9,5.1,36005013100
74,2508,95.9,4.1,36005013200
75,2360,94.9,5.1,36005013300
76,1433,88.6,11.4,36005013500
77,1420,91.3,8.7,36005013800
78,1479,88.7,11.3,36005014100
79,351,85.8,14.2,36005014300
80,2223,90.1,9.9,36005014400
81,2092,94.7,5.3,36005014500
82,2010,98.9,1.1,36005014701
83,1645,98.4,1.6,36005014702
84,1593,88.1,11.9,36005014900
85,1974,93.6,6.4,36005015100
86,956,90.4,9.6,36005015200
87,1417,97.0,3.0,36005015300
88,1074,97.5,2.5,36005015500
89,1272,86.2,13.8,36005015700
90,517,89.0,11.0,36005015800
91,714,100.0,0.0,36005015900
92,1632,91.6,8.4,36005016000
93,1825,96.4,3.6,36005016100
94,628,91.1,8.9,36005016200
95,960,80.0,20.0,36001000100
96,2970,73.4,26.6,36001000200
97,2708,91.9,8.1,36001000300
98,1123,91.6,8.4,36001000401
99,2488,88.1,11.9,36001000403
100,13,100.0,0.0,36001000404
101,1809,88.8,11.2,36001000501
102,945,84.3,15.7,36001000502
103,1632,78.1,21.9,36001000600
104,2102,69.6,30.4,36001000700
105,1290,62.5,37.5,36001000800
106,844,78.6,21.4,36001001100
107,2791,75.1,24.9,36001001400
108,2516,79.1,20.9,36001001500
109,1946,83.1,16.9,36001001600
110,2069,89.4,10.6,36001001700
111,3522,96.6,3.4,36001001801
112,2165,95.6,4.4,36001001802
113,1285,89.5,10.5,36001001901
114,1252,96.9,3.1,36001001902
115,2755,89.9,10.1,36001002000
116,1425,73.8,26.2,36001002100
117,1610,84.5,15.5,36001002200
118,1314,73.1,26.9,36001002300
119,1696,71.1,28.9,36001002500
120,2331,84.5,15.5,36001002600
121,1300,92.5,7.5,36001012700
122,2025,78.4,21.6,36001012800
123,1912,80.6,19.4,36001012900
124,3144,96.6,3.4,36001013000
125,1197,88.9,11.1,36001013100
126,1865,93.4,6.6,36001013200
127,2379,89.4,10.6,36001013300
128,1185,84.7,15.3,36001013400
129,1820,98.7,1.3,36001013503
130,1057,97.4,2.6,36001013505
131,2707,93.9,6.1,36001013506
132,1178,93.0,7.0,36001013507
133,2546,96.4,3.6,36001013508
134,3297,92.7,7.3,36001013601
135,2011,86.2,13.8,36001013602
136,646,99.2,0.8,36001013703
137,2805,93.5,6.5,36001013705
138,803,97.5,2.5,36001013706
139,2484,100.0,0.0,36001013707
140,3060,95.2,4.8,36001013801
141,1553,96.8,3.2,36001013802
142,1044,96.6,3.4,36001013901
143,2298,96.4,3.6,36001013902
144,2085,93.2,6.8,36001014001
145,1973,94.7,5.3,36001014002
146,2291,98.3,1.7,36001014100
147,2295,96.1,3.9,36001014201
148,2592,92.6,7.4,36001014202
149,2502,96.8,3.2,36001014203
150,1127,89.4,10.6,36001014301
151,3031,98.0,2.0,36001014302
152,1951,87.2,12.8,36001014401
153,1560,84.5,15.5,36001014402
154,997,89.6,10.4,36001014501
155,1434,91.0,9.0,36001014502
156,1106,95.4,4.6,36001014503
157,1494,97.7,2.3,36001014606
158,3202,97.4,2.6,36001014607
159,1205,100.0,0.0,36001014608
160,2479,91.4,8.6,36001014609
161,843,96.8,3.2,36001014611
162,715,92.0,8.0,36001014612
163,1265,93.5,6.5,36001014613
164,2380,93.7,6.3,36001014614
165,1279,85.1,14.9,36001014615
166,1125,88.4,11.6,36001014700
167,1608,75.8,24.2,36001014801
168,1198,63.5,36.5,36001014802
169,1812,80.5,19.5,36001014803
170,13,38.5,61.5,36003940200
171,1777,62.3,37.7,36003950100
172,1927,79.5,20.5,36003950300
173,3159,48.1,51.9,36003950400
174,2308,72.2,27.8,36003950500
175,2034,78.7,21.3,36003950600
176,2069,85.6,14.4,36003950700
177,1766,74.6,25.4,36003950800
178,1880,85.4,14.6,36003950900
179,1806,81.6,18.4,36003951000
180,1958,77.5,22.5,36003951100
181,2764,78.4,21.6,36003951200
182,2585,60.4,39.6,36003951300
183,0,-666666666.0,-666666666.0,36005000100
184,1460,89.2,10.8,36005000200
185,2189,81.4,18.6,36025970800
186,0,-666666666.0,-666666666.0,36025970900
187,1860,63.5,36.5,36025971000
188,2217,49.1,50.9,36025971100
189,3153,50.3,49.7,36025971200
190,1772,53.8,46.2,36025971300
191,2681,51.3,48.7,36025971400
192,1850,90.9,9.1,36027010000
193,1898,85.5,14.5,36027020003
194,967,96.8,3.2,36027020004
195,1792,97.5,2.5,36027020005
196,1910,85.5,14.5,36027030000
197,2136,92.3,7.7,36027040001
198,1674,84.5,15.5,36027040003
199,1187,100.0,0.0,36027050102
200,1863,92.4,7.6,36027050103
201,2147,96.7,3.3,36027050104
202,1962,97.8,2.2,36027050203
203,989,93.0,7.0,36027050204
204,1934,84.9,15.1,36027050205
205,2057,93.1,6.9,36027060100
206,1424,98.6,1.4,36027060201
207,1837,94.9,5.1,36027060202
208,1491,98.4,1.6,36027060301
209,1057,94.1,5.9,36027060302
210,1129,90.3,9.7,36027060400
211,1865,89.2,10.8,36027070101
212,1497,91.2,8.8,36027070102
213,1434,94.9,5.1,36027070201
214,2639,94.6,5.4,36027070301
215,1183,92.8,7.2,36027070401
216,1524,94.4,5.6,36027080103
217,1349,92.4,7.6,36027080104
218,1612,93.1,6.9,36027080201
219,967,100.0,0.0,36027080202
220,1276,75.0,25.0,36027090000
221,1443,75.5,24.5,36027100000
222,1563,86.6,13.4,36027110003
223,897,80.5,19.5,36027110004
224,941,95.7,4.3,36027110005
225,1275,72.5,27.5,36027120000
226,2177,95.9,4.1,36027130003
227,699,84.4,15.6,36027130004
228,1136,88.0,12.0,36027130005
229,1401,90.7,9.3,36027140101
230,2858,98.5,1.5,36027140200
231,2733,92.9,7.1,36027140300
232,1839,97.1,2.9,36027140400
233,1304,91.4,8.6,36027140500
234,1048,97.9,2.1,36027140602
235,2619,97.4,2.6,36027140700
236,1075,96.7,3.3,36027140801
237,814,78.9,21.1,36027150003
238,1354,88.8,11.2,36027150004
239,1099,93.2,6.8,36027150005
240,908,96.0,4.0,36027150006
241,1121,84.8,15.2,36027160003
242,1225,84.7,15.3,36027160004
243,1305,86.7,13.3,36027160005
244,1898,77.1,22.9,36027170000
245,1826,90.5,9.5,36027180001
246,1371,96.1,3.9,36027190101
247,759,91.4,8.6,36027190102
248,998,95.8,4.2,36027190203
249,1791,95.8,4.2,36027190204
250,1683,95.4,4.6,36027190301
251,813,100.0,0.0,36027190401
252,1352,91.2,8.8,36027190402
253,1620,80.1,19.9,36027200001
254,810,85.2,14.8,36027200002
255,2179,95.7,4.3,36027210101
256,1900,96.9,3.1,36027210201
257,1744,94.8,5.2,36027210301
258,2344,91.0,9.0,36027220100
259,1410,82.6,17.4,36027220201
260,1974,89.9,10.1,36027220300
261,1274,88.1,11.9,36027220700
262,2094,87.4,12.6,36027220801
263,1830,90.3,9.7,36027220901
264,1912,92.5,7.5,36027221001
265,1801,74.6,25.4,36027221100
266,2523,88.5,11.5,36027300000
267,786,96.1,3.9,36027410000
268,0,-666666666.0,-666666666.0,36027610000
269,0,-666666666.0,-666666666.0,36027640001
270,80,100.0,0.0,36027640002
271,1232,88.7,11.3,36029000110
272,1954,92.7,7.3,36029000200
273,1002,80.3,19.7,36029000500
274,2238,91.2,8.8,36029000600
275,1693,93.1,6.9,36029000700
276,2124,87.2,12.8,36029000800
277,1130,87.0,13.0,36029000900
278,2687,83.2,16.8,36029001000
279,1480,97.2,2.8,36029001100
280,2009,92.9,7.1,36029001402
281,992,69.6,30.4,36029001500
282,1922,55.4,44.6,36029001600
283,1062,83.3,16.7,36029001700
284,1583,88.9,11.1,36029001900
285,1640,92.5,7.5,36029002300
286,2367,75.9,24.1,36029002400
287,1125,86.4,13.6,36029002502
288,1628,63.3,36.7,36029002702
289,1484,60.9,39.1,36029002800
290,1474,59.5,40.5,36029002900
291,1395,71.9,28.1,36029003000
292,1393,66.7,33.3,36029003100
293,1843,73.1,26.9,36029003301
294,2040,70.5,29.5,36029003302
295,1656,70.0,30.0,36029003400
296,2078,67.0,33.0,36029003500
297,1512,70.6,29.4,36029003600
298,2070,79.5,20.5,36029003700
299,1352,86.5,13.5,36029003800
300,602,73.4,26.6,36029003901
301,2264,72.5,27.5,36029004001
302,2334,81.6,18.4,36029004100
303,1677,81.5,18.5,36029004200
304,2536,84.0,16.0,36029004300
305,2128,83.5,16.5,36029004401
306,1240,95.9,4.1,36029004402
307,2729,94.7,5.3,36029004500
308,1467,93.5,6.5,36029004601
309,0,-666666666.0,-666666666.0,36029004602
310,3015,84.7,15.3,36029004700
311,1944,93.2,6.8,36029004800
312,3195,91.5,8.5,36029004900
313,1301,93.5,6.5,36029005000
314,2524,95.6,4.4,36029005100
315,1595,86.7,13.3,36029005201
316,1050,77.6,22.4,36029005202
317,557,91.6,8.4,36029005300
318,2034,91.1,8.9,36029005400
319,2061,81.6,18.4,36029005500
320,2009,86.0,14.0,36029005600
321,1335,83.3,16.7,36029005700
322,1506,90.4,9.6,36029005801
323,1923,81.8,18.2,36029005802
