,total_housing_units,avg_year_built,vacant_housing_units,vacant_housing_units%,geoid
0,1634,1946.3512851897185,186,11.4,36005018400
1,2779,1962.8897085282476,324,11.7,36005018500
2,2949,1942.9062394031876,160,5.4,36005018900
3,2037,1949.5117820324006,73,3.6,36005019300
4,795,1949.6446540880504,61,7.7,36005019400
5,2772,1947.6565656565656,149,5.4,36005019500
6,2304,1941.431423611111,184,8.0,36005019700
7,2875,1950.3678260869565,231,8.0,36005019900
8,1636,1937.7365525672371,111,6.8,36005020000
9,1382,1952.4008683068018,55,4.0,36005020100
10,885,1959.7214689265536,60,6.8,36005020200
11,1139,1943.78007023705,137,12.0,36005020400
12,2723,1953.8463092177744,114,4.2,36005020501
13,989,1954.0551061678464,150,15.2,36005020502
14,1001,1958.441058941059,95,9.5,36005020601
15,1681,1949.9753123140988,116,6.9,36005020900
16,4078,1945.603482099068,300,7.4,36005021001
17,3091,1938.1590100291169,110,3.6,36005021002
18,1987,1961.862858580775,134,6.7,36005021100
19,2303,1942.9520191055146,139,6.0,36005021200
20,455,1949.39010989011,31,6.8,36005021301
21,1982,1969.9752774974772,35,1.8,36005021302
22,1394,1943.6929698708752,173,12.4,36005021501
23,2166,1944.5600184672207,62,2.9,36005021502
24,1680,1942.642857142857,152,9.0,36005021601
25,2560,1941.357421875,108,4.2,36005021602
26,1855,1939.7398921832885,264,14.2,36005021700
27,2425,1941.0463917525774,141,5.8,36005021800
28,432,1931.7685185185185,25,5.8,36005021900
29,472,1944.6483050847457,20,4.2,36005022000
30,1193,1953.1714165968147,31,2.6,36005022101
31,1717,1945.0445544554455,199,11.6,36005022102
32,1212,1939.4257425742574,123,10.1,36005022200
33,1833,1951.7640480087289,29,1.6,36005022300
34,1138,1932.3119507908611,21,1.8,36005022401
35,1370,1935.6160583941605,65,4.7,36005022403
36,1824,1948.5356359649122,36,2.0,36005022404
37,2380,1933.6659663865546,113,4.7,36005022500
38,1876,1940.839552238806,82,4.4,36005022701
39,679,1944.7076583210603,16,2.4,36005022702
40,614,1933.5635179153094,14,2.3,36005022703
41,2586,1941.787316318639,125,4.8,36005022800
42,1863,1931.5907139023082,225,12.1,36005022901
43,1107,1943.3482384823849,54,4.9,36005022902
44,1056,1946.910037878788,70,6.6,36005023000
45,445,1939.926966292135,12,2.7,36005023100
46,916,1940.4443231441048,76,8.3,36005023200
47,1602,1935.8483146067415,103,6.4,36005023301
48,1022,1934.7857142857142,124,12.1,36005023302
49,1125,1929.8822222222223,20,1.8,36005023501
50,1733,1939.3551644547028,77,4.4,36005023502
51,679,1942.342415316642,38,5.6,36005023600
52,341,1930.0278592375366,7,2.1,36005023702
53,1581,1928.0452245414294,178,11.3,36005023703
54,1319,1934.6743745261563,37,2.8,36005023704
55,905,1932.03591160221,148,16.4,36005023800
56,2620,1934.6736641221373,121,4.6,36005023900
57,1346,1940.893016344725,106,7.9,36005024000
58,2082,1943.2377521613832,262,12.6,36005024100
59,2066,1943.0067763794773,122,5.9,36005024300
60,865,1947.9046242774566,42,4.9,36005024400
61,1581,1936.5271979759646,45,2.8,36005024501
62,1198,1938.8948247078465,98,8.2,36005024502
63,799,1944.8566958698373,46,5.8,36005024600
64,696,1949.1192528735633,9,1.3,36005024700
65,1239,1951.5742534301855,50,4.0,36005024800
67,1065,1945.105633802817,52,4.9,36005025000
68,2232,1948.448028673835,109,4.9,36005025100
69,986,1942.0405679513185,111,11.3,36005025200
70,1993,1928.6695935775213,162,8.1,36005025300
71,891,1939.5785634118968,95,10.7,36005025400
72,2302,1932.3040834057342,132,5.7,36005025500
73,713,1943.7987377279103,56,7.9,36005025600
74,694,1932.5835734870318,71,10.2,36005025700
75,1098,1950.7704918032787,144,13.1,36005026100
76,2317,1936.642857142857,211,9.1,36005026300
77,2186,1947.1944190301922,164,7.5,36005026400
78,2167,1943.5802953391785,153,7.1,36005026500
79,1411,1954.2200566973777,122,8.6,36005026601
80,2751,1951.3520537986187,213,7.7,36005026602
81,1352,1934.5924556213017,84,6.2,36005026701
82,2486,1939.8016894609816,149,6.0,36005026702
83,1447,1945.0922598479613,122,8.4,36005026900
84,2765,1942.934719710669,122,4.4,36005027300
85,1931,1953.6455204557224,181,9.4,36005027401
86,1414,1955.196605374823,120,8.5,36005027402
87,16,1952.3125,0,0.0,36005027600
88,1861,1938.5435249865664,107,5.7,36005027700
89,2840,1943.8820422535211,222,7.8,36005027900
90,1813,1945.9837286265858,103,5.7,36005028100
91,1371,1951.389132020423,99,7.2,36005028300
92,44,1931.4318181818182,0,0.0,36005028400
93,1707,1951.1303456356181,171,10.0,36005028500
94,531,1943.3512241054614,89,16.8,36005028600
95,1285,1938.1887159533073,119,9.3,36005028700
96,1290,1946.8875968992247,123,9.5,36005028800
97,1876,1937.908315565032,145,7.7,36005028900
98,965,1956.821243523316,115,11.9,36005029301
99,2820,1960.5212765957447,218,7.7,36005029302
100,2127,1955.3768218147625,273,12.8,36005029500
101,763,1951.0923984272608,51,6.7,36005029600
102,1872,1957.8840811965813,231,12.3,36005029700
103,2759,1951.8222181949982,156,5.7,36005030000
104,596,1960.1375838926174,66,11.1,36005030100
105,4275,1964.6719298245614,120,2.8,36005030200
106,2907,1958.466288269694,318,10.9,36005030701
107,1432,1963.1801675977654,26,1.8,36005030900
108,1299,1959.4230177059276,64,4.9,36005031000
109,634,1945.6041009463722,16,2.5,36005031200
110,715,1947.0104895104896,21,2.9,36005031400
111,690,1952.7463768115942,61,8.8,36005031600
112,673,1954.1953937592868,49,7.3,36005031800
114,2773,1956.1822935448972,494,17.8,36005032300
115,1289,1948.3052754072926,80,6.2,36005032400
116,1110,1948.5495495495495,73,6.6,36005032600
117,1468,1950.099455040872,93,6.3,36005032800
118,2181,1954.7957359009629,197,9.0,36005033000
119,1977,1955.6497218007082,164,8.3,36005033201
120,1678,1955.5578069129917,230,13.7,36005033202
121,649,1953.0670261941448,53,8.2,36005033400
122,805,1930.8167701863354,38,4.7,36005033500
123,2674,1954.4304412864622,45,1.7,36005033600
124,1087,1944.729990800368,153,14.1,36005033700
125,1375,1949.7436363636364,101,7.3,36005033800
126,1796,1940.5579064587973,167,9.3,36005034000
127,629,1956.7496025437201,40,6.4,36005034200
128,659,1946.252655538695,100,15.2,36005034300
129,593,1958.8929173693086,42,7.1,36005034400
130,1601,1955.333853841349,193,12.1,36005034500
131,2161,1949.3931050439612,103,4.8,36005034800
132,705,1952.3156028368794,81,11.5,36005035000
133,1165,1946.431330472103,192,16.5,36005035100
134,690,1954.6376811594203,23,3.3,36005035600
135,2485,1954.3430583501006,46,1.9,36005035800
136,726,1966.9628099173553,59,8.1,36005035900
137,998,1946.6593186372745,70,7.0,36005036000
138,2213,1961.5786262991414,66,3.0,36005036100
139,2631,1961.8261117445838,89,3.4,36005036300
140,916,1940.8045851528384,93,10.2,36005036400
141,1372,1968.439504373178,70,5.1,36005036501
142,734,1961.3801089918256,86,11.7,36005036502
143,708,1956.1596045197741,46,6.5,36005036700
144,662,1961.52416918429,26,3.9,36005036800
145,818,1949.2555012224939,51,6.2,36005036901
146,790,1946.3544303797469,71,9.0,36005036902
147,842,1955.1828978622327,64,7.6,36005037000
148,1773,1957.6105470953187,163,9.2,36005037100
149,835,1955.2305389221558,88,10.5,36005037200
150,1939,1949.1477565755545,246,12.7,36005037300
151,1506,1959.0849933598938,69,4.6,36005037400
152,1339,1954.767363704257,133,9.9,36005037504
153,799,1952.0857321652065,83,10.4,36005037600
154,1068,1952.126404494382,16,1.5,36005037800
155,1640,1944.8231707317073,151,9.2,36005037900
156,1836,1956.6486928104575,226,12.3,36005038000
157,2303,1939.051454624403,145,6.3,36005038100
158,917,1949.5272628135224,95,10.4,36005038200
159,1618,1932.7292954264524,82,5.1,36005038301
160,1974,1946.8277608915907,122,6.2,36005038302
161,1712,1950.7669392523364,118,6.9,36005038500
162,2785,1951.6741472172353,370,13.3,36005038600
163,1289,1939.2944142746314,141,10.9,36005038700
164,880,1946.284090909091,71,8.1,36005038800
165,1900,1940.5394736842106,185,9.7,36005038900
166,1073,1969.742311276794,84,7.8,36005039000
167,2586,1936.5591647331787,239,9.2,36005039100
168,599,1946.9040066777964,42,7.0,36005039200
169,3215,1945.8125972006221,291,9.1,36005039300
170,1669,1943.0500299580588,64,3.8,36005039400
171,1581,1952.5480708412397,171,10.8,36005039500
172,1440,1955.548611111111,231,16.0,36005039600
173,564,1941.840425531915,55,9.8,36005039700
174,1094,1949.5594149908593,131,12.0,36005039800
175,1764,1930.562925170068,148,8.4,36005039901
176,1735,1933.1253602305476,94,5.4,36005039902
177,1535,1933.115635179153,41,2.7,36005040100
178,1496,1932.173796791444,59,3.9,36005040302
179,1608,1931.8320895522388,148,9.2,36005040303
180,1281,1932.6967213114754,151,11.8,36005040304
181,1136,1942.625,117,10.3,36005040400
182,1470,1928.2489795918368,215,14.6,36005040501
183,2391,1935.4276453366792,257,10.7,36005040502
184,1284,1931.696261682243,196,15.3,36005040600
185,1262,1926.203645007924,121,9.6,36005040701
186,2722,1938.1050698016165,176,6.5,36005040702
187,1590,1939.4622641509434,138,8.7,36005040800
188,1336,1965.1811377245508,38,2.8,36005040900
189,1188,1945.8762626262626,74,6.2,36005041100
190,2966,1936.1790289952799,108,3.6,36005041300
191,1827,1945.0774493705528,202,11.1,36005041400
192,2352,1936.143282312925,145,6.2,36005041500
193,1316,1930.187689969605,35,2.7,36005041800
194,2572,1934.6263608087093,28,1.1,36005041900
195,1461,1942.7676249144422,109,7.5,36005042000
196,2400,1941.9666666666667,270,11.3,36005042100
197,1145,1952.2406113537118,101,8.8,36005042200
198,1487,1940.6042367182247,25,1.7,36005042300
199,870,1944.7080459770116,40,4.6,36005042400
200,2295,1936.6002178649237,123,5.4,36005042500
201,2172,1957.524861878453,124,5.7,36005042600
202,741,1944.729419703104,45,6.1,36005042800
203,1275,1937.2254901960785,104,8.2,36005042901
204,1565,1944.4418530351438,70,4.5,36005042902
205,1076,1942.7481412639406,39,3.6,36005043000
206,3622,1946.3152954168968,304,8.4,36005043100
207,1348,1933.7284866468842,86,6.4,36005043400
208,26,1940.7307692307693,5,19.2,36005043500
209,752,1933.409574468085,30,4.0,36005043600
210,1316,1939.2378419452887,55,4.2,36005044200
211,1348,1943.8916913946587,111,8.2,36005044400
212,694,1950.5590778097983,51,7.3,36005044800
213,847,1942.2095631641087,124,14.6,36005044901
214,942,1944.5424628450105,87,9.2,36005044902
215,906,1937.132450331126,155,17.1,36005045101
216,979,1944.5817160367721,120,12.3,36005045102
217,1054,1949.9032258064517,95,9.0,36005045600
218,2050,1952.8878048780489,192,9.4,36005045800
219,1007,1956.342105263158,81,8.0,36005046000
220,12799,1967.7846316118446,521,4.1,36005046201
221,2644,1967.3789712556732,146,5.5,36005046202
222,1288,1963.7701863354037,114,8.9,36005048400
223,26,1935.4615384615386,11,42.3,36005050400
224,2216,1944.0667870036102,154,6.9,36005051600
225,1579,1933.0668144395188,210,13.3,36007000100
226,1658,1938.4686369119422,278,16.8,36007000200
227,1480,1947.1013513513512,300,20.3,36007000300
228,1089,1928.1501377410468,162,14.9,36007000400
229,998,1942.62625250501,287,28.8,36007000500
230,1059,1936.8796033994333,194,18.3,36007000600
231,1572,1940.3905852417304,128,8.1,36007000700
232,855,1943.1842105263158,109,12.7,36007000900
233,945,1952.9179894179895,184,19.5,36007001100
234,899,1948.7714126807564,308,34.3,36007001200
235,1393,1937.6335247666907,430,30.9,36007001300
236,2625,1941.4580952380952,584,22.2,36007001400
237,2280,1938.9166666666667,74,3.2,36007001500
238,1162,1950.9285714285713,81,7.0,36007001600
239,2168,1938.969557195572,258,11.9,36007001700
240,1907,1941.8544834819088,180,9.4,36007001800
241,2010,1958.676616915423,177,8.8,36007010200
242,1335,1961.073033707865,228,17.1,36007011901
