,total_population,median_age,sex_ratio,geoid
0,1704,49.1,0.9407744874715261,36067016801
1,2554,45.6,1.252204585537919,36067016802
2,2731,43.7,1.0533834586466166,36067016901
3,2287,37.6,1.1616257088846882,36067016902
4,112,76.4,0.0,36067940000
5,3493,46.5,1.005166475315729,36069050101
6,11094,41.8,0.9401888772298006,36069050102
7,6687,39.8,0.9973118279569892,36069050201
8,6079,36.8,0.7806092560046866,36069050202
9,4591,46.7,0.924140821458508,36069050301
10,4799,42.8,0.9211369095276221,36069050302
11,6988,44.7,1.133089133089133,36069050400
12,6127,46.2,1.0982876712328766,36069050500
13,6124,49.6,0.7512153274235058,36069050601
14,4478,39.7,1.0964419475655431,36069050602
15,3192,43.1,0.9068100358422939,36069050800
16,2245,45.7,0.9470945359930616,36069050900
17,2739,46.1,0.7913669064748201,36069051000
18,2284,31.9,0.876746096959737,36069051100
19,3743,42.8,1.0520833333333333,36069051200
20,4268,50.0,0.9577981651376147,36069051300
21,2738,46.1,1.0296515937731654,36069051400
22,3219,49.0,1.0143929912390488,36069051500
23,3490,45.5,0.9102353585112206,36069051600
24,1907,34.2,0.8266283524904214,36069051700
25,2656,30.9,1.196856906534326,36069051800
26,5100,21.5,0.9992159937279498,36069051900
27,5091,50.9,1.0745721271393642,36069052000
28,3851,50.6,1.0162303664921466,36069052100
29,2467,50.1,0.9109217660728117,36069052200
30,3797,24.7,0.7644052044609665,36071000100
31,2881,35.2,0.9296718017414601,36071000200
32,6666,26.8,0.8948266060261513,36071000300
33,4459,26.9,0.9311390212213079,36071000400
34,3226,29.5,1.0149906308557153,36071000501
35,3948,25.7,0.9183673469387755,36071000502
36,3543,33.8,0.7966531440162272,36071000600
37,4800,35.9,1.0521590423257803,36071001100
38,2682,28.8,0.9985096870342772,36071001200
39,3394,38.0,0.8897550111358574,36071001300
40,5012,33.7,0.896329928111994,36071001500
41,6793,36.2,0.9536957146965775,36071001600
42,3107,44.3,1.0149156939040207,36071002100
43,3722,40.1,0.9787347155768208,36071002200
44,1821,40.4,1.2537128712871286,36071002300
45,4774,40.7,1.0929416922402455,36071010101
46,5120,40.8,1.0149547422274694,36071010102
47,4567,44.0,0.9830655666521928,36071010200
48,2029,39.9,0.6536267318663407,36029002502
49,2442,30.2,0.9950980392156863,36029002702
50,2126,33.8,0.9887745556594949,36029002800
51,1938,31.3,0.7014925373134329,36029002900
52,2630,35.2,0.6698412698412698,36029003000
53,2296,48.7,0.8107255520504731,36029003100
54,3828,32.8,0.7119856887298748,36029003301
55,3126,44.2,0.5513647642679901,36029003302
56,2545,38.1,0.6117796073464218,36029003400
57,3059,36.7,0.7175743964065132,36029003500
58,2847,35.6,0.9770833333333333,36029003600
59,4165,28.4,0.9175874769797422,36029003700
60,2977,25.4,0.7584170112226817,36029003800
61,991,49.8,1.508860759493671,36029003901
62,4467,32.7,0.7889467360833,36029004001
63,4435,37.5,0.7460629921259843,36029004100
64,3678,32.9,0.8316733067729084,36029004200
65,5869,30.9,0.7953502600183542,36029004300
66,4551,31.4,0.7701283547257877,36029004401
67,2614,24.5,0.46442577030812326,36029004402
68,5878,39.7,1.0303972366148533,36029004500
69,3224,27.3,1.165211551376763,36029004601
70,1154,19.4,1.8778054862842892,36029004602
71,5999,27.2,1.0530458590006844,36029004700
72,4082,40.2,0.99706457925636,36029004800
73,6158,36.4,0.8785845027455765,36029004900
74,2340,36.6,1.2740524781341107,36029005000
75,4410,34.3,0.9731543624161074,36029005100
76,2811,36.6,0.9851694915254238,36029005201
77,3456,21.6,0.9907834101382489,36029005202
78,1672,25.7,0.9351851851851852,36029005300
79,3895,39.4,0.8398677373641946,36029005400
80,3852,29.2,0.7974801679888007,36029005500
81,4293,31.3,1.154039136979428,36029005600
82,2616,33.3,0.7358991373589914,36029005700
83,3392,33.4,1.0226595110316041,36029005801
84,4695,28.3,0.7865296803652968,36029005802
85,3978,30.1,1.04,36029005900
86,4783,27.8,1.105193661971831,36029006100
87,2028,19.6,0.9575289575289575,36029006201
88,4524,31.4,1.0973574408901252,36029006301
89,2685,41.0,0.7793240556660039,36029006302
90,2920,31.9,0.8826563507414571,36029006501
91,2522,30.4,1.0454176804541768,36029006601
92,2381,47.4,0.9858215179316097,36029006602
93,2867,31.2,1.2917665867306156,36029006701
94,2862,46.3,1.1278810408921933,36029006702
95,3363,31.0,1.2081418253447145,36029006800
96,3363,28.5,0.9552325581395349,36029006901
97,4515,38.2,0.9494818652849741,36047050400
98,4396,35.4,0.9625,36047050500
99,5616,32.7,0.975378121702427,36047050600
100,2523,15.7,1.1768766177739431,36047050700
101,4240,35.1,0.9539170506912442,36047050801
102,2338,32.6,0.7901990811638591,36047050803
103,6144,31.8,0.9218016890835158,36047050804
104,4488,13.4,1.427257977285019,36047050900
105,4498,32.4,0.7891805887032617,36047051001
106,4841,34.7,1.081255374032674,36047051002
107,3890,35.2,0.9726166328600405,36047051100
108,5759,30.8,0.7509881422924901,36047051200
109,4756,31.6,0.7933634992458521,36047051300
110,7717,35.6,0.8626599082790248,36047051400
111,1626,33.6,0.9519807923169268,36047051500
112,5533,31.3,0.7108843537414966,36047051601
113,4262,32.9,0.6879207920792079,36047051602
114,2107,33.4,1.0318225650916104,36047051700
115,3229,41.9,0.7771051183269125,36047051800
116,4792,32.7,1.3817097415506958,36047051900
117,4636,32.3,0.889930697105585,36047052000
118,5538,31.2,1.0285714285714285,36047052300
119,3392,31.4,0.9153020892151327,36047052500
120,4486,33.9,0.7696252465483234,36047052600
121,6523,31.2,0.9460023866348448,36047052700
122,1896,39.2,1.027807486631016,36047052800
123,4202,20.5,1.3318534961154274,36047052900
124,3777,32.2,0.9299948901379663,36047053000
125,8953,12.6,1.0610036832412524,36047053100
126,2682,37.1,0.8821052631578947,36047053200
127,6821,20.7,0.9991207502930832,36047053300
128,4212,30.9,0.8972972972972973,36047053400
129,4065,21.0,1.0223880597014925,36047053500
130,3539,16.8,1.0304073436603558,36047053700
131,4341,44.1,0.8711206896551724,36047053800
132,2580,29.6,0.9830899308224442,36047053900
133,4542,30.3,1.0505643340857789,36047054200
134,351,36.9,1.5434782608695652,36047054300
135,3069,42.1,0.910958904109589,36047054400
136,8072,22.2,0.8711172925359295,36047054500
137,4429,37.8,0.8084932625561454,36047054600
138,5172,27.1,1.0038744672607516,36047054700
139,2168,36.9,0.9000876424189308,36047054800
140,3607,29.8,0.9413347685683531,36047054900
141,3638,39.8,1.034675615212528,36047055000
142,5860,32.3,0.9925195511730703,36047055100
143,3098,38.8,1.0381578947368422,36047055200
144,2843,34.5,1.0409188801148601,36047055300
145,6563,40.7,0.8513399153737659,36059411400
146,2732,47.4,0.9654676258992806,36059411500
147,6526,42.3,0.7595039094095444,36059411600
148,6043,46.4,0.8633980881899476,36059411700
149,5985,44.0,0.9170403587443946,36059411800
150,3673,40.5,0.9715512614063339,36059411901
151,4098,39.9,0.9104895104895104,36059411902
152,5828,42.4,0.8590111642743221,36059412000
153,6327,44.6,1.039651837524178,36059412100
154,5319,46.1,0.9306715063520871,36059412200
155,3241,46.3,1.0435056746532156,36059412301
156,3506,41.1,0.9284928492849285,36059412302
157,5717,42.3,0.7488528602018966,36059412400
158,4189,41.1,0.9862494073020389,36059412500
159,3807,42.6,1.1496329757199322,36059412600
160,3802,42.8,0.9791775117126497,36059412700
161,3140,40.6,0.8298368298368298,36059412800
162,6032,41.1,0.9584415584415584,36059412900
163,4069,45.7,0.763762462071955,36059413001
164,3706,43.2,0.8869653767820774,36059413002
165,5110,41.1,1.0173707066719304,36059413100
166,6004,51.8,0.9311675779993567,36059413200
167,6157,46.0,0.9392125984251969,36059413300
168,5767,40.2,1.0662844858473666,36059413400
169,8407,36.9,0.9132908511606737,36059413500
170,5514,37.5,0.9179130434782609,36059413600
171,5118,41.8,0.9639293937068304,36059413700
172,4052,44.8,0.788962472406181,36059413803
173,3478,45.3,0.93007769145394,36059413804
174,7491,34.5,0.925706940874036,36059413900
175,4237,32.3,0.919800634345265,36059414001
176,4947,32.9,1.0724759111855886,36059414002
177,6355,40.2,0.9257575757575758,36059414100
178,5346,37.5,1.2145816072908036,36059414201
179,4299,37.3,1.1156496062992125,36059414202
180,3849,32.1,0.981977342945417,36059414301
181,4829,39.4,0.7688644688644689,36059414303
182,3645,30.2,0.850253807106599,36059414304
183,5480,30.9,0.9288982752551919,36059414400
184,5251,45.7,0.8647017045454546,36059414501
185,4163,46.1,0.8777627424447452,36059414502
186,3728,38.2,1.0517336268574573,36059414600
187,4693,41.9,1.0115730818688384,36059414700
188,6473,43.1,1.0297899027908435,36059414800
189,7185,40.0,1.0616929698708752,36059414900
190,5980,41.5,1.0507544581618655,36059415000
191,2567,48.0,0.8441091954022989,36059415101
192,3652,39.9,1.0345403899721448,36071010300
193,4087,38.5,0.8076072534276869,36071010400
194,8289,41.6,0.8937628512679918,36071010500
195,7305,40.9,0.8706786171574904,36071010600
196,6769,35.0,0.9665891923300407,36071010700
197,3944,41.1,0.9192214111922141,36071010801
198,5461,42.7,0.912784588441331,36071010802
199,3157,43.7,0.9499691167387276,36071010901
200,6074,39.2,1.1825368307581747,36071010902
201,4917,40.3,1.082592121982211,36071011000
202,2718,40.9,1.169193934557063,36071011101
203,4063,39.8,1.1715660074826295,36071011102
204,4503,40.6,0.735929067077872,36071011200
205,7619,40.0,0.9820499479708636,36071011300
206,3897,44.6,0.8451704545454546,36071011400
207,6997,42.6,1.4998213647731333,36071011500
208,4150,46.2,1.0687936191425722,36071011601
209,3645,43.1,0.9863760217983651,36071011602
210,4673,43.0,0.9667508417508418,36071011701
211,4498,38.5,1.0548195523069894,36071011702
212,4626,40.9,0.9710268427780144,36071011801
213,2655,39.2,1.2809278350515463,36071011802
214,6514,44.5,1.1634008635004982,36071011900
215,3625,44.0,0.8831168831168831,36071012100
216,3654,40.6,1.1998795906080675,36071012200
217,5436,40.8,0.9875685557586837,36071012300
218,4109,39.8,1.1312240663900415,36071012601
219,3580,40.7,0.7489008304836345,36071012602
220,4111,41.4,1.0825734549138804,36071012700
221,4722,42.2,0.9832003359932802,36071012800
222,2903,43.0,0.815509693558474,36071012900
