,incident_year,incident_month,geoid,gas_leaks,gas_leaks_per_person,total_population
0,2013,1,36005002000,6,0.0007095553453169347,8456.0
2,2013,1,36005002500,1,0.00019577133907595928,5108.0
3,2013,1,36005002701,2,0.0006305170239596469,3172.0
4,2013,1,36005002800,1,0.00017229496898690558,5804.0
5,2013,1,36005003500,2,0.0005296610169491525,3776.0
6,2013,1,36005004001,1,0.0006802721088435374,1470.0
7,2013,1,36005004100,4,0.000643293663557414,6218.0
8,2013,1,36005004200,5,0.0006730380939561179,7429.0
9,2013,1,36005004300,1,0.00018747656542932134,5334.0
10,2013,1,36005004600,2,0.0012461059190031153,1605.0
11,2013,1,36005004800,1,0.00025759917568263783,3882.0
12,2013,1,36005005001,1,0.00020911752404851526,4782.0
13,2013,1,36005005002,1,0.00017717930545712261,5644.0
14,2013,1,36005005200,2,0.0010075566750629723,1985.0
15,2013,1,36005006000,2,0.0015936254980079682,1255.0
16,2013,1,36005006100,3,0.000791765637371338,3789.0
17,2013,1,36005006200,1,0.0001304631441617743,7665.0
18,2013,1,36005006400,1,0.00024894199651481205,4017.0
19,2013,1,36005006500,2,0.0003487966515521451,5734.0
20,2013,1,36005006700,1,0.00012800819252432156,7812.0
21,2013,1,36005006800,2,0.0006702412868632708,2984.0
22,2013,1,36005006900,1,0.00013579576317218902,7364.0
23,2013,1,36005007200,1,0.0001670843776106934,5985.0
24,2013,1,36005007300,1,0.00027808676307007786,3596.0
25,2013,1,36005007400,1,0.0002588661661920787,3863.0
26,2013,1,36005007500,2,0.0004286326618088298,4666.0
27,2013,1,36005007700,2,0.0010718113612004287,1866.0
28,2013,1,36005007900,3,0.0004895561357702349,6128.0
29,2013,1,36005008600,4,0.0011242270938729624,3558.0
30,2013,1,36005008700,2,0.00031857279388340236,6278.0
31,2013,1,36005009300,5,0.0007759155803848542,6444.0
32,2013,1,36005009800,1,0.00020387359836901122,4905.0
33,2013,1,36005012101,2,0.0006371455877668047,3139.0
34,2013,1,36005012901,2,0.000543773790103317,3678.0
35,2013,1,36005013300,2,0.0003071253071253071,6512.0
36,2013,1,36005013500,6,0.0017006802721088435,3528.0
37,2013,1,36005013800,1,0.0003289473684210526,3040.0
