,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,geoid,incident_year,Two races,gas_leaks,gas_leaks_per_person
0,1352.0,1504.0,35.0,259.0,0.0,1638.0,3236.0,29.0,0.0,0.0,0.0,60.0,0.0,170.0,120.0,1618.0,43.0,4850.0,36005000200,2013,62.0,2,0.0004123711340206186
1,1339.0,1568.0,0.0,116.0,0.0,2237.0,3495.0,90.0,12.0,12.0,0.0,2.0,0.0,0.0,139.0,2416.0,35.0,5317.0,36005000400,2013,57.0,5,0.000940379913485048
2,1535.0,1717.0,0.0,0.0,0.0,1848.0,3692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,1878.0,143.0,5129.0,36005001600,2013,29.0,11,0.0021446675765256387
3,995.0,654.0,0.0,34.0,0.0,821.0,1567.0,0.0,0.0,0.0,23.0,6.0,0.0,5.0,525.0,547.0,27.0,2515.0,36005001900,2013,11.0,3,0.0011928429423459245
4,1610.0,3331.0,137.0,197.0,0.0,2894.0,5320.0,117.0,0.0,0.0,0.0,0.0,66.0,14.0,51.0,3273.0,116.0,8185.0,36005002000,2013,16.0,42,0.005131337813072694
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005002400,2013,0.0,9,inf
6,1821.0,1104.0,0.0,286.0,0.0,1740.0,4074.0,0.0,195.0,0.0,0.0,0.0,0.0,91.0,997.0,1593.0,0.0,4951.0,36005002500,2013,0.0,21,0.004241567360129267
7,927.0,1482.0,0.0,0.0,0.0,691.0,2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,1075.0,18.0,3110.0,36005002701,2013,10.0,9,0.0028938906752411574
8,1278.0,1777.0,19.0,0.0,0.0,1497.0,3119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,1127.0,57.0,4637.0,36005002702,2013,66.0,9,0.0019409100711667026
9,276.0,4050.0,0.0,27.0,0.0,1193.0,1811.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,1351.0,27.0,5593.0,36005002800,2013,47.0,8,0.0014303593777936707
10,287.0,588.0,0.0,21.0,0.0,374.0,691.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,193.0,339.0,7.0,1272.0,36005003100,2013,2.0,1,0.0007861635220125787
11,1225.0,1629.0,0.0,0.0,0.0,1095.0,2835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,971.0,17.0,3963.0,36005003300,2013,14.0,4,0.0010093363613424174
12,514.0,1221.0,0.0,0.0,0.0,1810.0,2678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,976.0,22.0,3653.0,36005003500,2013,108.0,16,0.0043799616753353405
13,68.0,54.0,0.0,0.0,0.0,120.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,242.0,36005003700,2013,0.0,7,0.028925619834710745
14,191.0,518.0,0.0,9.0,0.0,524.0,700.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,12.0,486.0,3.0,1250.0,36005003800,2013,8.0,2,0.0016
15,2331.0,1447.0,33.0,86.0,0.0,2152.0,4793.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,1411.0,2054.0,25.0,6049.0,36005003900,2013,0.0,6,0.000991899487518598
16,298.0,290.0,0.0,357.0,0.0,300.0,537.0,0.0,155.0,0.0,11.0,0.0,0.0,191.0,0.0,283.0,7.0,1424.0,36005004001,2013,179.0,3,0.002106741573033708
17,1896.0,2209.0,41.0,83.0,0.0,1801.0,4720.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,2587.0,0.0,6183.0,36005004100,2013,153.0,15,0.0024260067928190197
18,1614.0,3639.0,39.0,78.0,0.0,1913.0,3984.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,3102.0,0.0,7377.0,36005004200,2013,94.0,50,0.0067778229632641995
19,1160.0,1968.0,66.0,0.0,10.0,1868.0,4119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,2409.0,0.0,5234.0,36005004300,2013,162.0,16,0.003056935422239205
20,685.0,2045.0,6.0,276.0,0.0,1371.0,2748.0,220.0,39.0,17.0,0.0,0.0,0.0,0.0,187.0,1740.0,17.0,4415.0,36005004400,2013,32.0,14,0.0031710079275198188
21,364.0,592.0,13.0,0.0,0.0,629.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,704.0,0.0,1598.0,36005004600,2013,0.0,22,0.01376720901126408
22,613.0,912.0,10.0,210.0,0.0,1847.0,2928.0,53.0,105.0,0.0,0.0,0.0,52.0,0.0,552.0,974.0,0.0,3754.0,36005004800,2013,162.0,4,0.0010655301012253596
23,433.0,2098.0,0.0,18.0,0.0,1886.0,3269.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,508.0,1757.0,21.0,4435.0,36005005001,2013,0.0,9,0.002029312288613303
24,985.0,1169.0,116.0,152.0,0.0,2903.0,4262.0,0.0,0.0,8.0,0.0,0.0,0.0,144.0,1230.0,977.0,10.0,5415.0,36005005002,2013,90.0,4,0.0007386888273314866
25,313.0,765.0,0.0,60.0,0.0,601.0,1171.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,437.0,0.0,1744.0,36005005200,2013,5.0,5,0.0028669724770642203
26,1030.0,1408.0,0.0,165.0,0.0,2507.0,4461.0,62.0,70.0,0.0,0.0,0.0,0.0,33.0,887.0,1476.0,77.0,5175.0,36005005400,2013,65.0,16,0.0030917874396135265
27,386.0,624.0,0.0,42.0,0.0,1004.0,1704.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,862.0,0.0,2056.0,36005005600,2013,0.0,10,0.0048638132295719845
28,145.0,260.0,0.0,11.0,0.0,839.0,1050.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,0.0,1255.0,36005006000,2013,0.0,12,0.009561752988047808
29,182.0,3092.0,0.0,0.0,0.0,328.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,429.0,0.0,3673.0,36005006100,2013,71.0,21,0.0057173972229784915
