,geoid,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,incident_year,Two races,gas_leaks,gas_leaks_per_person
0,36005000200,12373.0,7868.0,51.0,1225.0,0.0,7467.0,22067.0,152.0,0.0,0.0,67.0,341.0,0.0,665.0,1117.0,11535.0,142.0,30061.0,12093,1077.0,38,0.0012640963374471908
1,36005000400,12926.0,11356.0,109.0,527.0,0.0,8663.0,22427.0,174.0,183.0,124.0,0.0,9.0,37.0,0.0,423.0,14239.0,559.0,34056.0,12093,475.0,49,0.001438806671364811
2,36005001600,13395.0,12661.0,0.0,24.0,0.0,7860.0,22732.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,356.0,11263.0,459.0,34158.0,12093,218.0,99,0.0028982961531705603
3,36005001900,3873.0,5447.0,0.0,349.0,0.0,5666.0,8878.0,164.0,39.0,15.0,70.0,47.0,0.0,14.0,1612.0,3175.0,33.0,15487.0,12093,152.0,38,0.002453670820688319
4,36005002000,15636.0,23951.0,1060.0,1141.0,0.0,10602.0,33119.0,628.0,0.0,0.0,0.0,0.0,419.0,94.0,2088.0,18786.0,175.0,52625.0,12093,235.0,314,0.005966745843230404
5,36005002400,265.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,12093,0.0,60,0.10695187165775401
6,36005002500,7112.0,7198.0,49.0,1085.0,34.0,16495.0,25563.0,213.0,582.0,0.0,0.0,20.0,0.0,270.0,5988.0,9210.0,0.0,32044.0,12093,71.0,172,0.005367619523155661
7,36005002701,2993.0,6922.0,0.0,0.0,0.0,7968.0,12350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2227.0,5758.0,259.0,17939.0,12093,56.0,87,0.004849768660460449
8,36005002702,4721.0,10282.0,271.0,0.0,0.0,12021.0,18819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,8961.0,154.0,27587.0,12093,292.0,58,0.002102439554862798
9,36005002800,2726.0,23133.0,0.0,290.0,0.0,4412.0,10775.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,251.0,6452.0,63.0,31201.0,12093,640.0,72,0.002307618345565847
