,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
0,2.67,24.53498671390611,15.32329495128432,4.517271922054915,0.0,36091061404,3.9,89261,122452,1156,97.7,2.3,3024,40.7,3.4722222222222223
1,2.39,39.04569892473119,31.72043010752688,15.188172043010757,2.0161290322580645,36095740500,9.2,53438,64809,2220,67.0,33.0,3562,42.6,1.235261089275688
2,2.63,36.835443037974684,26.83544303797468,9.873417721518988,3.037974683544304,36089492900,12.2,44483,54549,1978,39.9,60.1,2076,39.2,0.6262042389210019
3,2.21,38.94952251023192,31.309686221009546,15.484311050477489,0.06821282401091405,36089492100,9.2,46111,59822,1578,92.9,7.1,4410,37.6,2.857142857142857
4,2.1,43.98782343987824,36.86453576864536,9.071537290715373,1.1263318112633185,36091062405,4.4,59985,80467,3489,94.2,5.8,6888,38.8,6.794425087108014
5,2.3,34.65160075329567,28.43691148775895,14.387947269303202,5.649717514124294,36089492700,8.0,35089,50766,2979,89.1,10.9,7029,43.5,2.603499786598378
6,2.17,44.193548387096776,36.774193548387096,24.435483870967737,0.6451612903225806,36091060601,7.7,69054,91436,1452,85.4,14.6,2705,53.7,0.5914972273567467
7,2.56,19.12512716174975,10.22380467955239,3.560528992878942,0.0,36091060602,6.4,90290,94846,2210,89.0,11.0,5060,45.2,0.45454545454545453
8,3.02,37.68472906403941,32.101806239737265,12.31527093596059,1.3957307060755335,36093033200,7.5,52929,64677,1744,69.8,30.2,3684,45.1,1.2757871878393052
9,2.2,65.29160739687056,52.48933143669986,9.103840682788052,0.0,36093033400,4.6,63781,70777,998,70.4,29.6,3016,21.4,6.13395225464191
10,2.62,31.43365983971505,21.638468388245773,8.81567230632235,3.829029385574353,36089492400,7.0,46556,58123,1583,70.9,29.1,2941,39.5,1.1560693641618496
11,2.36,34.10507569011576,24.75512021371327,10.596616206589493,3.116651825467497,36089492800,7.8,50281,65586,2724,41.2,58.8,2666,50.1,1.350337584396099
12,2.5,28.728323699421964,22.02312138728324,9.595375722543352,2.1965317919075145,36091062508,1.4,92368,109211,1878,92.1,7.9,4474,44.5,1.318730442556996
13,-666666666.0,,,,,36095740300,9.2,-666666666,-666666666,0,-666666666.0,-666666666.0,1239,19.4,2.9055690072639226
14,1.64,82.66283524904216,66.76245210727969,15.229885057471266,0.0,36093033500,5.8,45208,61596,1588,65.7,34.3,1894,43.1,1.1615628299894403
15,2.19,44.71603163191949,38.46153846153847,20.848310567936736,1.2940330697340043,36091062509,1.4,80982,104978,1482,93.9,6.1,3052,47.4,0.6880733944954129
16,2.52,34.629156010230176,25.93350383631713,11.202046035805626,0.7672634271099744,36095740100,2.2,56563,68730,2336,83.7,16.3,4987,44.1,0.8622418287547624
17,2.45,31.458842705786477,27.383863080684595,12.224938875305623,0.9779951100244498,36095740600,9.6,50972,67215,2207,55.6,44.4,3001,47.4,0.9996667777407532
18,2.27,36.33491311216429,31.437598736176934,15.639810426540285,0.4739336492890995,36095740800,7.6,53958,69710,2719,46.6,53.4,2875,52.4,1.182608695652174
19,2.23,43.001808318264004,34.53887884267631,10.705244122965642,0.0,36091061403,3.0,77884,104916,2815,98.2,1.8,6372,44.5,1.177024482109228
20,2.72,26.04166666666667,19.930555555555557,12.083333333333336,1.0416666666666663,36091062406,7.0,76638,116841,1609,89.5,10.5,3920,42.4,2.8316326530612246
21,2.68,36.541143654114364,34.86750348675035,10.0418410041841,0.0,36093033300,8.1,49188,60921,955,75.1,24.9,1939,44.4,0.7220216606498195
22,2.49,30.600838379133677,24.685607824871912,9.175593851886351,1.3041453190498369,36091062506,0.4,100542,114929,2187,98.2,1.8,5354,38.6,2.3720582741875234
23,2.29,46.11892873354517,32.4557421697685,18.384021788470267,2.178847026781661,36095740200,4.4,47835,65987,2654,83.0,17.0,5118,45.1,0.48847205939820243
24,2.38,30.77821011673152,21.673151750972767,10.817120622568094,1.3229571984435795,36089492300,6.4,55800,67526,3992,64.4,35.6,6117,45.6,0.9481772110511689
25,2.23,30.499561787905346,25.32865907099036,14.460999123575812,3.943908851884312,36089492500,3.6,45446,58270,2821,40.4,59.6,2606,53.6,0.5372217958557176
26,2.31,32.978251220594764,26.719928983577447,14.292055037727476,4.61606746560142,36095740700,3.3,61063,72591,2714,83.0,17.0,5245,48.7,0.41944709246901807
27,2.49,30.27368421052631,23.663157894736838,10.189473684210526,1.6842105263157894,36089492600,10.3,49784,65135,3183,74.6,25.4,5944,42.3,1.4636608344549127
28,2.31,41.839762611275965,33.41246290801187,8.605341246290802,2.373887240356084,36091062507,1.2,81940,108384,1758,95.8,4.2,3894,41.1,4.468412942989214
29,2.45,33.317951084448545,27.595754499307798,15.228426395939088,1.2921089063221043,36095740400,6.8,56691,69628,2656,81.6,18.4,5337,44.5,0.7307476110174256
30,1.8,0.0,0.0,0.0,0.0,36059981100,9.4,-666666666,-999999999,5,100.0,0.0,1115,20.2,6.367713004484305
31,1.87,59.71914264597192,50.92387287509239,11.97339246119734,0.0,36061003700,2.2,153281,295326,1659,81.6,18.4,2579,41.7,13.377278014734392
32,-666666666.0,,,,,36059990302,-666666666.0,-666666666,-666666666,0,-666666666.0,-666666666.0,0,-666666666.0,
33,2.27,60.510510510510514,31.606606606606608,7.882882882882883,0.0,36061008601,3.0,150962,209922,1577,84.5,15.5,3022,30.2,19.72203838517538
34,2.05,58.03560466543893,38.62492326580724,15.469613259668508,1.4119091467157765,36061004400,2.5,101736,131437,8420,96.7,3.3,16684,38.2,11.28626228722129
35,-666666666.0,,,,,36059990200,-666666666.0,-666666666,-666666666,0,-666666666.0,-666666666.0,0,-666666666.0,
36,2.99,17.162761241291953,15.13616212792907,8.929702343255224,0.0,36059522700,3.4,133906,150936,1625,97.2,2.8,4737,44.2,1.0555203715431707
37,2.4,34.883720930232556,32.55813953488372,18.6046511627907,0.0,36103147004,1.7,119375,101493,2470,1.7,98.3,108,49.5,0.0
38,2.21,45.59068219633943,41.014975041597346,10.316139767054908,0.0,36059416402,1.6,106750,127544,1442,83.4,16.6,3110,50.8,0.6109324758842444
39,2.93,20.85308056872038,16.018957345971565,11.279620853080571,0.0,36103135208,0.6,116719,130005,1110,95.0,5.0,3089,48.0,1.974749109744254
40,-666666666.0,,,,,36059990400,-666666666.0,-666666666,-666666666,0,-666666666.0,-666666666.0,0,-666666666.0,
41,1.76,56.53235653235653,51.11925111925112,25.72242572242572,0.0,36061008603,5.8,168245,292440,3519,69.8,30.2,4313,57.5,8.996058428008347
42,4.53,25.661116552399612,16.454456415279136,12.242899118511266,2.840352595494613,36103146106,7.5,82784,91138,1151,88.7,11.3,4934,32.6,18.139440616132955
43,3.91,30.434782608695656,0.0,0.0,0.0,36059982100,10.1,-666666666,-999999999,23,100.0,0.0,1366,20.3,11.200585651537336
44,2.61,26.424870466321238,19.94818652849741,8.981001727115716,0.0,36103135209,3.3,113264,120688,1231,94.1,5.9,3020,45.6,5.298013245033113
45,3.07,13.850415512465375,12.3730378578024,8.587257617728532,0.0,36103158010,4.1,169844,175116,1199,90.3,9.7,3328,40.8,2.403846153846154
46,-666666666.0,,,,,36059980100,12.6,-666666666,-666666666,0,-666666666.0,-666666666.0,1012,19.8,5.33596837944664
47,2.96,26.838235294117645,22.732843137254907,15.870098039215687,2.5735294117647056,36103147003,4.1,132069,151706,1707,95.6,4.4,4853,42.0,1.1333195961261076
48,2.31,50.296495956873315,34.016172506738556,10.781671159029653,0.0,36059416401,6.6,106776,132987,2165,85.7,14.3,4283,37.7,3.6656549147793602
